"Step","DDPG_DDPG_3_1 - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-138.94343424847975","-138.94343424847975","-138.94343424847975"
"1","-84.7536704510133","-84.7536704510133","-84.7536704510133"
"2","-44.427580731381994","-44.427580731381994","-44.427580731381994"
"3","-87.53992640762308","-87.53992640762308","-87.53992640762308"
"4","-92.3992015740115","-92.3992015740115","-92.3992015740115"
"5","-85.96170492755321","-85.96170492755321","-85.96170492755321"
"6","-91.50350337308065","-91.50350337308065","-91.50350337308065"
"7","-103.96347246245507","-103.96347246245507","-103.96347246245507"
"8","-109.1091440025417","-109.1091440025417","-109.1091440025417"
"9","-107.18776838043979","-107.18776838043979","-107.18776838043979"
"10","-109.13562447037484","-109.13562447037484","-109.13562447037484"
"11","-106.38262583545348","-106.38262583545348","-106.38262583545348"
"12","-114.35578959665337","-114.35578959665337","-114.35578959665337"
"13","-111.00150269931945","-111.00150269931945","-111.00150269931945"
"14","-117.61550698354439","-117.61550698354439","-117.61550698354439"
"15","-113.86058438925885","-113.86058438925885","-113.86058438925885"
"16","-113.9201070608494","-113.9201070608494","-113.9201070608494"
"17","-110.04244763275044","-110.04244763275044","-110.04244763275044"
"18","-112.9023541729958","-112.9023541729958","-112.9023541729958"
"19","-117.83789097332892","-117.83789097332892","-117.83789097332892"
"20","-122.21395906380216","-122.21395906380216","-122.21395906380216"
"21","-122.61984622761243","-122.61984622761243","-122.61984622761243"
"22","-120.51647272865122","-120.51647272865122","-120.51647272865122"
"23","-117.54687357531573","-117.54687357531573","-117.54687357531573"
"24","-110.35559093382946","-110.35559093382946","-110.35559093382946"
"25","-110.77960470699985","-110.77960470699985","-110.77960470699985"
"26","-115.76229703264124","-115.76229703264124","-115.76229703264124"
"27","-114.66646267104402","-114.66646267104402","-114.66646267104402"
"28","-114.0163493713509","-114.0163493713509","-114.0163493713509"
"29","-115.01394696258558","-115.01394696258558","-115.01394696258558"
"30","-116.34250943549104","-116.34250943549104","-116.34250943549104"
"31","-113.87473202916074","-113.87473202916074","-113.87473202916074"
"32","-112.6247122620728","-112.6247122620728","-112.6247122620728"
"33","-111.62511177903347","-111.62511177903347","-111.62511177903347"
"34","-109.17230331817247","-109.17230331817247","-109.17230331817247"
"35","-114.71116601528158","-114.71116601528158","-114.71116601528158"
"36","-115.84525360679288","-115.84525360679288","-115.84525360679288"
"37","-114.09883538642379","-114.09883538642379","-114.09883538642379"
"38","-114.3164846042825","-114.3164846042825","-114.3164846042825"
"39","-113.2970807478578","-113.2970807478578","-113.2970807478578"
"40","-113.92890296416242","-113.92890296416242","-113.92890296416242"
"41","-110.98754311072595","-110.98754311072595","-110.98754311072595"
"42","-111.85439903077298","-111.85439903077298","-111.85439903077298"
"43","-109.82372702535463","-109.82372702535463","-109.82372702535463"
"44","-108.3782822752713","-108.3782822752713","-108.3782822752713"
"45","-106.87038398468428","-106.87038398468428","-106.87038398468428"
"46","-104.98523546927838","-104.98523546927838","-104.98523546927838"
"47","-104.06624694071728","-104.06624694071728","-104.06624694071728"
"48","-104.7275372849237","-104.7275372849237","-104.7275372849237"
"49","-105.64369157088915","-105.64369157088915","-105.64369157088915"
"50","-103.73710689057108","-103.73710689057108","-103.73710689057108"
"51","-102.39397976046045","-102.39397976046045","-102.39397976046045"
"52","-101.66973414380008","-101.66973414380008","-101.66973414380008"
"53","-100.10452866321154","-100.10452866321154","-100.10452866321154"
"54","-98.91991145784698","-98.91991145784698","-98.91991145784698"
"55","-98.32505466275461","-98.32505466275461","-98.32505466275461"
"56","-97.50000183807657","-97.50000183807657","-97.50000183807657"
"57","-96.31313155676334","-96.31313155676334","-96.31313155676334"
"58","-94.84697648131663","-94.84697648131663","-94.84697648131663"
"59","-92.79518114910259","-92.79518114910259","-92.79518114910259"
"60","-91.7058275210784","-91.7058275210784","-91.7058275210784"
"61","-90.99327898184717","-90.99327898184717","-90.99327898184717"
"62","-90.15712148984339","-90.15712148984339","-90.15712148984339"
"63","-89.65397981549154","-89.65397981549154","-89.65397981549154"
"64","-88.30868515627593","-88.30868515627593","-88.30868515627593"
"65","-87.18753233524426","-87.18753233524426","-87.18753233524426"
"66","-86.18922333763074","-86.18922333763074","-86.18922333763074"
"67","-85.71211629581032","-85.71211629581032","-85.71211629581032"
"68","-84.4901835575746","-84.4901835575746","-84.4901835575746"
"69","-84.58292375119598","-84.58292375119598","-84.58292375119598"
"70","-83.63122696719533","-83.63122696719533","-83.63122696719533"
"71","-83.8111044423584","-83.8111044423584","-83.8111044423584"
"72","-82.88995937405655","-82.88995937405655","-82.88995937405655"
"73","-82.47444893585646","-82.47444893585646","-82.47444893585646"
"74","-82.55828473907815","-82.55828473907815","-82.55828473907815"
"75","-79.48329206281933","-79.48329206281933","-79.48329206281933"
"76","-78.80180301182172","-78.80180301182172","-78.80180301182172"
"77","-78.48559206819934","-78.48559206819934","-78.48559206819934"
"78","-77.08890586211295","-77.08890586211295","-77.08890586211295"
"79","-75.47801080815864","-75.47801080815864","-75.47801080815864"
"80","-74.90593157636383","-74.90593157636383","-74.90593157636383"
"81","-74.11520607223208","-74.11520607223208","-74.11520607223208"
"82","-73.34126454190945","-73.34126454190945","-73.34126454190945"
"83","-72.57109370469145","-72.57109370469145","-72.57109370469145"
"84","-71.92477632278752","-71.92477632278752","-71.92477632278752"
"85","-70.98546046964822","-70.98546046964822","-70.98546046964822"
"86","-69.60967500283773","-69.60967500283773","-69.60967500283773"
"87","-68.87469651917829","-68.87469651917829","-68.87469651917829"
"88","-68.2397635519563","-68.2397635519563","-68.2397635519563"
"89","-68.22649171951157","-68.22649171951157","-68.22649171951157"
"90","-67.1457959669396","-67.1457959669396","-67.1457959669396"
"91","-66.30930232106839","-66.30930232106839","-66.30930232106839"
"92","-64.60362800985439","-64.60362800985439","-64.60362800985439"
"93","-62.95398213937978","-62.95398213937978","-62.95398213937978"
"94","-61.29603429236782","-61.29603429236782","-61.29603429236782"
"95","-59.93905108876313","-59.93905108876313","-59.93905108876313"
"96","-59.91459446452327","-59.91459446452327","-59.91459446452327"
"97","-59.55270122540441","-59.55270122540441","-59.55270122540441"
"98","-59.09324110309754","-59.09324110309754","-59.09324110309754"
"99","-58.214376446222325","-58.214376446222325","-58.214376446222325"
"100","-57.87895479088496","-57.87895479088496","-57.87895479088496"
"101","-57.09190094262063","-57.09190094262063","-57.09190094262063"
"102","-56.80525870147919","-56.80525870147919","-56.80525870147919"
"103","-56.388506952926","-56.388506952926","-56.388506952926"
"104","-55.35768126615129","-55.35768126615129","-55.35768126615129"
"105","-55.248181509639394","-55.248181509639394","-55.248181509639394"
"106","-54.87366123576083","-54.87366123576083","-54.87366123576083"
"107","-55.239673131549765","-55.239673131549765","-55.239673131549765"
"108","-54.81087273295911","-54.81087273295911","-54.81087273295911"
"109","-54.09679736266972","-54.09679736266972","-54.09679736266972"
"110","-53.51036193452161","-53.51036193452161","-53.51036193452161"
"111","-53.31011886680769","-53.31011886680769","-53.31011886680769"
"112","-52.56406159726363","-52.56406159726363","-52.56406159726363"
"113","-51.65335592336443","-51.65335592336443","-51.65335592336443"
"114","-51.30229688890681","-51.30229688890681","-51.30229688890681"
"115","-50.60609076421452","-50.60609076421452","-50.60609076421452"
"116","-50.24483794134763","-50.24483794134763","-50.24483794134763"
"117","-49.55729176409102","-49.55729176409102","-49.55729176409102"
"118","-49.84920704231162","-49.84920704231162","-49.84920704231162"
