"Step","DDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)","DDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MAX"
"1","-107.04783294776135","-107.04783294776135","-107.04783294776135"
"3","-122.60226272037481","-122.60226272037481","-122.60226272037481"
"5","-116.53809257510777","-116.53809257510777","-116.53809257510777"
"7","-121.54425442085245","-121.54425442085245","-121.54425442085245"
"9","-116.88355990995692","-116.88355990995692","-116.88355990995692"
"11","-117.60956744105818","-117.60956744105818","-117.60956744105818"
"13","-87.98228160137246","-87.98228160137246","-87.98228160137246"
"15","-105.72277838321833","-105.72277838321833","-105.72277838321833"
"17","-113.08819034910704","-113.08819034910704","-113.08819034910704"
"19","-109.53757058996503","-109.53757058996503","-109.53757058996503"
"21","-111.04778162427155","-111.04778162427155","-111.04778162427155"
"23","-117.55273633580926","-117.55273633580926","-117.55273633580926"
"25","-119.86409105804547","-119.86409105804547","-119.86409105804547"
"27","-126.24261805962965","-126.24261805962965","-126.24261805962965"
"29","-126.24550079216505","-126.24550079216505","-126.24550079216505"
"31","-130.57278726841798","-130.57278726841798","-130.57278726841798"
"33","-132.48049099454255","-132.48049099454255","-132.48049099454255"
"35","-142.2643397776839","-142.2643397776839","-142.2643397776839"
"37","-147.4795495290833","-147.4795495290833","-147.4795495290833"
"39","-148.8358726018273","-148.8358726018273","-148.8358726018273"
"41","-146.01350713446098","-146.01350713446098","-146.01350713446098"
"43","-155.36738703693055","-155.36738703693055","-155.36738703693055"
"45","-156.17799511103325","-156.17799511103325","-156.17799511103325"
"47","-156.40789788299716","-156.40789788299716","-156.40789788299716"
"49","-158.52322788699337","-158.52322788699337","-158.52322788699337"
"51","-154.3211195162059","-154.3211195162059","-154.3211195162059"
"53","-148.06257755264593","-148.06257755264593","-148.06257755264593"
"55","-146.85889950877922","-146.85889950877922","-146.85889950877922"
"57","-157.0163855181783","-157.0163855181783","-157.0163855181783"
"59","-151.62761375666352","-151.62761375666352","-151.62761375666352"
"61","-152.861443027355","-152.861443027355","-152.861443027355"
"63","-151.1471268566261","-151.1471268566261","-151.1471268566261"
"65","-147.59914865831124","-147.59914865831124","-147.59914865831124"
"67","-144.06488735934389","-144.06488735934389","-144.06488735934389"
"69","-140.7416520411075","-140.7416520411075","-140.7416520411075"
"71","-141.83596389170216","-141.83596389170216","-141.83596389170216"
"73","-139.816926426677","-139.816926426677","-139.816926426677"
"75","-138.18000857556072","-138.18000857556072","-138.18000857556072"
"77","-136.3056685569548","-136.3056685569548","-136.3056685569548"
"79","-132.3474467214488","-132.3474467214488","-132.3474467214488"
"81","-131.40239924208734","-131.40239924208734","-131.40239924208734"
"83","-128.66806878630703","-128.66806878630703","-128.66806878630703"
"85","-128.45325477816687","-128.45325477816687","-128.45325477816687"
"87","-125.9206779257257","-125.9206779257257","-125.9206779257257"
"89","-122.73392211821428","-122.73392211821428","-122.73392211821428"
"91","-121.25498329526195","-121.25498329526195","-121.25498329526195"
"93","-119.60114702377021","-119.60114702377021","-119.60114702377021"
"95","-119.25513803051854","-119.25513803051854","-119.25513803051854"
"97","-116.90121149565732","-116.90121149565732","-116.90121149565732"
"99","-115.59081545273035","-115.59081545273035","-115.59081545273035"
"101","-114.95160026459071","-114.95160026459071","-114.95160026459071"
"103","-112.93078218503943","-112.93078218503943","-112.93078218503943"
"105","-110.99315785354868","-110.99315785354868","-110.99315785354868"
"107","-109.64095817078108","-109.64095817078108","-109.64095817078108"
"109","-109.04479669558535","-109.04479669558535","-109.04479669558535"
"111","-107.56388324637783","-107.56388324637783","-107.56388324637783"
"113","-106.66079764137355","-106.66079764137355","-106.66079764137355"
"115","-107.624812428876","-107.624812428876","-107.624812428876"
"117","-105.97954399079346","-105.97954399079346","-105.97954399079346"
"119","-104.46617625290983","-104.46617625290983","-104.46617625290983"
"121","-103.42054983383474","-103.42054983383474","-103.42054983383474"
"123","-102.48767038247969","-102.48767038247969","-102.48767038247969"
"125","-100.944591217608","-100.944591217608","-100.944591217608"
"127","-99.89806627235653","-99.89806627235653","-99.89806627235653"
"129","-98.56450338905742","-98.56450338905742","-98.56450338905742"
"131","-98.152189745464","-98.152189745464","-98.152189745464"
"133","-96.31056405960385","-96.31056405960385","-96.31056405960385"
"135","-95.06722582598249","-95.06722582598249","-95.06722582598249"
"137","-93.97305152833317","-93.97305152833317","-93.97305152833317"
"139","-92.8166380731355","-92.8166380731355","-92.8166380731355"
"141","-91.61676033490147","-91.61676033490147","-91.61676033490147"
"143","-91.36272470037136","-91.36272470037136","-91.36272470037136"
"145","-90.39254839414798","-90.39254839414798","-90.39254839414798"
"147","-90.15426546388815","-90.15426546388815","-90.15426546388815"
"149","-90.84914396489125","-90.84914396489125","-90.84914396489125"
"151","-91.0866231158664","-91.0866231158664","-91.0866231158664"
"153","-90.43258963107854","-90.43258963107854","-90.43258963107854"
"155","-88.3569977683288","-88.3569977683288","-88.3569977683288"
"157","-87.39440445340139","-87.39440445340139","-87.39440445340139"
"159","-86.55132270238796","-86.55132270238796","-86.55132270238796"
"161","-84.66147417498074","-84.66147417498074","-84.66147417498074"
"163","-81.72890669410543","-81.72890669410543","-81.72890669410543"
"165","-80.86476220425259","-80.86476220425259","-80.86476220425259"
"167","-80.35952220511828","-80.35952220511828","-80.35952220511828"
"169","-79.07854158539942","-79.07854158539942","-79.07854158539942"
"171","-77.55718413219168","-77.55718413219168","-77.55718413219168"
