"Step","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)__MAX","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-2.55909999845578","-2.55909999845578","-2.55909999845578","-50.320790280736944","-50.320790280736944","-50.320790280736944"
"1","-32.1435608263461","-32.1435608263461","-32.1435608263461","-67.98313342612846","-67.98313342612846","-67.98313342612846"
"2","-34.91682785723847","-34.91682785723847","-34.91682785723847","-88.71676832675341","-88.71676832675341","-88.71676832675341"
"3","-52.12291569810684","-52.12291569810684","-52.12291569810684","-94.73350482457876","-94.73350482457876","-94.73350482457876"
"4","-62.859285145262184","-62.859285145262184","-62.859285145262184","-99.17046199660089","-99.17046199660089","-99.17046199660089"
"5","-62.5747406828707","-62.5747406828707","-62.5747406828707","-112.6394523279036","-112.6394523279036","-112.6394523279036"
"6","-61.93241137295405","-61.93241137295405","-61.93241137295405","-122.51036091499837","-122.51036091499837","-122.51036091499837"
"7","-68.59290442554422","-68.59290442554422","-68.59290442554422","-119.3331939147501","-119.3331939147501","-119.3331939147501"
"8","-64.81380774825183","-64.81380774825183","-64.81380774825183","-129.114405274724","-129.114405274724","-129.114405274724"
"9","-57.04379034602506","-57.04379034602506","-57.04379034602506","-122.53997637303125","-122.53997637303125","-122.53997637303125"
"10","-71.5165712608601","-71.5165712608601","-71.5165712608601","-121.98715812795218","-121.98715812795218","-121.98715812795218"
"11","-87.03672586638565","-87.03672586638565","-87.03672586638565","-134.2357514320019","-134.2357514320019","-134.2357514320019"
"12","-89.6284308009194","-89.6284308009194","-89.6284308009194","-134.38349294083017","-134.38349294083017","-134.38349294083017"
"13","-86.9627809378428","-86.9627809378428","-86.9627809378428","-146.7960084841464","-146.7960084841464","-146.7960084841464"
"14","-80.14047077631389","-80.14047077631389","-80.14047077631389","-143.74250265607563","-143.74250265607563","-143.74250265607563"
"15","-75.07284718971042","-75.07284718971042","-75.07284718971042","-139.79729613327714","-139.79729613327714","-139.79729613327714"
"16","-73.80169794945418","-73.80169794945418","-73.80169794945418","-136.18184449597337","-136.18184449597337","-136.18184449597337"
"17","-72.89811445460278","-72.89811445460278","-72.89811445460278","-133.46470330978553","-133.46470330978553","-133.46470330978553"
"18","-68.60896684175161","-68.60896684175161","-68.60896684175161","-133.16061819444255","-133.16061819444255","-133.16061819444255"
"19","-73.77290378212282","-73.77290378212282","-73.77290378212282","-131.69783007076632","-131.69783007076632","-131.69783007076632"
"20","-78.71373612147772","-78.71373612147772","-78.71373612147772","-132.06339980856941","-132.06339980856941","-132.06339980856941"
"21","-78.05395635077093","-78.05395635077093","-78.05395635077093","-128.29850140213597","-128.29850140213597","-128.29850140213597"
"22","-78.74844515686976","-78.74844515686976","-78.74844515686976","-128.37902012281927","-128.37902012281927","-128.37902012281927"
"23","-74.26139349817016","-74.26139349817016","-74.26139349817016","-130.72162890313396","-130.72162890313396","-130.72162890313396"
"24","-77.20631054332438","-77.20631054332438","-77.20631054332438","-132.24500785025444","-132.24500785025444","-132.24500785025444"
"25","-82.17167058909808","-82.17167058909808","-82.17167058909808","-133.30314723023815","-133.30314723023815","-133.30314723023815"
"26","-83.12729032611212","-83.12729032611212","-83.12729032611212","-138.6070804357723","-138.6070804357723","-138.6070804357723"
"27","-91.46418230055808","-91.46418230055808","-91.46418230055808","-135.11958538064886","-135.11958538064886","-135.11958538064886"
"28","-93.11389286263872","-93.11389286263872","-93.11389286263872","-132.63009240334029","-132.63009240334029","-132.63009240334029"
"29","-90.82237735413418","-90.82237735413418","-90.82237735413418","-130.29210112939563","-130.29210112939563","-130.29210112939563"
"30","-87.40403898237513","-87.40403898237513","-87.40403898237513","-128.78110166334469","-128.78110166334469","-128.78110166334469"
