"Step","DDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-119.52736943006357","-119.52736943006357","-119.52736943006357"
"1","-147.96550020447157","-147.96550020447157","-147.96550020447157"
"2","-116.41694130508911","-116.41694130508911","-116.41694130508911"
"3","-149.43735430224766","-149.43735430224766","-149.43735430224766"
"4","-154.99165779921566","-154.99165779921566","-154.99165779921566"
"5","-148.02442054181293","-148.02442054181293","-148.02442054181293"
"6","-131.8862047238394","-131.8862047238394","-131.8862047238394"
"7","-143.88743056511507","-143.88743056511507","-143.88743056511507"
"8","-154.17077204021393","-154.17077204021393","-154.17077204021393"
"9","-161.4824417066525","-161.4824417066525","-161.4824417066525"
"10","-177.23067122800583","-177.23067122800583","-177.23067122800583"
"11","-164.91418422025635","-164.91418422025635","-164.91418422025635"
"12","-171.76999528126282","-171.76999528126282","-171.76999528126282"
"13","-175.85458361395118","-175.85458361395118","-175.85458361395118"
"14","-175.52667758320842","-175.52667758320842","-175.52667758320842"
"15","-165.47345918899103","-165.47345918899103","-165.47345918899103"
"16","-167.80367488951183","-167.80367488951183","-167.80367488951183"
"17","-161.67140079509971","-161.67140079509971","-161.67140079509971"
"18","-159.50507461686172","-159.50507461686172","-159.50507461686172"
"19","-150.06390126057835","-150.06390126057835","-150.06390126057835"
"20","-146.33371020866963","-146.33371020866963","-146.33371020866963"
"21","-137.16292124109722","-137.16292124109722","-137.16292124109722"
"22","-137.12944053542535","-137.12944053542535","-137.12944053542535"
"23","-138.64041515237713","-138.64041515237713","-138.64041515237713"
"24","-142.47079238929902","-142.47079238929902","-142.47079238929902"
"25","-144.99863398969737","-144.99863398969737","-144.99863398969737"
"26","-140.78402219979702","-140.78402219979702","-140.78402219979702"
"27","-141.61389219687638","-141.61389219687638","-141.61389219687638"
"28","-145.71746205011388","-145.71746205011388","-145.71746205011388"
"29","-143.63672092213898","-143.63672092213898","-143.63672092213898"
"30","-140.73780762744943","-140.73780762744943","-140.73780762744943"
"31","-141.79935696119782","-141.79935696119782","-141.79935696119782"
"32","-138.7181929098166","-138.7181929098166","-138.7181929098166"
"33","-134.96863147550698","-134.96863147550698","-134.96863147550698"
"34","-136.14015303722215","-136.14015303722215","-136.14015303722215"
"35","-133.89669225352296","-133.89669225352296","-133.89669225352296"
"36","-135.1512481914473","-135.1512481914473","-135.1512481914473"
"37","-136.7967975546346","-136.7967975546346","-136.7967975546346"
"38","-134.9837297208583","-134.9837297208583","-134.9837297208583"
"39","-138.91674692144002","-138.91674692144002","-138.91674692144002"
"40","-141.61509906414068","-141.61509906414068","-141.61509906414068"
"41","-144.2003312453728","-144.2003312453728","-144.2003312453728"
"42","-152.10911623933887","-152.10911623933887","-152.10911623933887"
"43","-156.62503537206592","-156.62503537206592","-156.62503537206592"
"44","-154.12602227952058","-154.12602227952058","-154.12602227952058"
"45","-157.87648864836737","-157.87648864836737","-157.87648864836737"
"46","-158.02860419431542","-158.02860419431542","-158.02860419431542"
"47","-157.93083873979336","-157.93083873979336","-157.93083873979336"
"48","-155.5736711444375","-155.5736711444375","-155.5736711444375"
"49","-155.13835803017417","-155.13835803017417","-155.13835803017417"
"50","-154.0390867654069","-154.0390867654069","-154.0390867654069"
"51","-156.67661491422425","-156.67661491422425","-156.67661491422425"
"52","-155.22625288699348","-155.22625288699348","-155.22625288699348"
"53","-152.92195082276388","-152.92195082276388","-152.92195082276388"
"54","-151.63069467979642","-151.63069467979642","-151.63069467979642"
"55","-150.46146273161395","-150.46146273161395","-150.46146273161395"
"56","-147.04436191682944","-147.04436191682944","-147.04436191682944"
"57","-142.3138539521915","-142.3138539521915","-142.3138539521915"
"58","-142.37729776130968","-142.37729776130968","-142.37729776130968"
"59","-141.08649517212083","-141.08649517212083","-141.08649517212083"
"60","-135.52377826205966","-135.52377826205966","-135.52377826205966"
"61","-133.69557423923962","-133.69557423923962","-133.69557423923962"
"62","-132.00939508159425","-132.00939508159425","-132.00939508159425"
"63","-130.46201219383275","-130.46201219383275","-130.46201219383275"
"64","-128.16277495384432","-128.16277495384432","-128.16277495384432"
"65","-127.86543966127289","-127.86543966127289","-127.86543966127289"
"66","-127.83087493508675","-127.83087493508675","-127.83087493508675"
"67","-126.23606280508044","-126.23606280508044","-126.23606280508044"
"68","-123.4719040428491","-123.4719040428491","-123.4719040428491"
"69","-122.36620348514658","-122.36620348514658","-122.36620348514658"
"70","-118.87307181698624","-118.87307181698624","-118.87307181698624"
"71","-117.50788936493889","-117.50788936493889","-117.50788936493889"
"72","-113.75229369109186","-113.75229369109186","-113.75229369109186"
"73","-111.16702073823257","-111.16702073823257","-111.16702073823257"
"74","-109.53555120032523","-109.53555120032523","-109.53555120032523"
"75","-106.12147944099347","-106.12147944099347","-106.12147944099347"
"76","-103.27044916312747","-103.27044916312747","-103.27044916312747"
"77","-101.12670980975466","-101.12670980975466","-101.12670980975466"
"78","-99.2256415917308","-99.2256415917308","-99.2256415917308"
"79","-96.64442183093423","-96.64442183093423","-96.64442183093423"
"80","-91.81940909584033","-91.81940909584033","-91.81940909584033"
"81","-90.07220579961","-90.07220579961","-90.07220579961"
"82","-87.73385625125836","-87.73385625125836","-87.73385625125836"
"83","-87.20555099187757","-87.20555099187757","-87.20555099187757"
"84","-85.93629992896186","-85.93629992896186","-85.93629992896186"
"85","-84.35941963213367","-84.35941963213367","-84.35941963213367"
"86","-83.57927541243109","-83.57927541243109","-83.57927541243109"
"87","-79.2628849286667","-79.2628849286667","-79.2628849286667"
"88","-76.95711356582453","-76.95711356582453","-76.95711356582453"
"89","-74.1589099023428","-74.1589099023428","-74.1589099023428"
"90","-72.54456693117157","-72.54456693117157","-72.54456693117157"
"91","-69.568223307226","-69.568223307226","-69.568223307226"
"92","-68.99059196615504","-68.99059196615504","-68.99059196615504"
"93","-65.9366642836969","-65.9366642836969","-65.9366642836969"
"94","-63.75091811163999","-63.75091811163999","-63.75091811163999"
"95","-61.26556343625516","-61.26556343625516","-61.26556343625516"
"96","-57.6646946039433","-57.6646946039433","-57.6646946039433"
"97","-55.96369978422162","-55.96369978422162","-55.96369978422162"
"98","-53.59726026366574","-53.59726026366574","-53.59726026366574"
"99","-52.59849407633326","-52.59849407633326","-52.59849407633326"
"100","-50.90460066505016","-50.90460066505016","-50.90460066505016"
"101","-49.61822255586419","-49.61822255586419","-49.61822255586419"
"102","-47.73260319943358","-47.73260319943358","-47.73260319943358"
"103","-46.30706532382711","-46.30706532382711","-46.30706532382711"
"104","-43.94074036539963","-43.94074036539963","-43.94074036539963"
"105","-42.85444213882637","-42.85444213882637","-42.85444213882637"
"106","-41.174166357407096","-41.174166357407096","-41.174166357407096"
"107","-39.53735045233702","-39.53735045233702","-39.53735045233702"
"108","-37.90419503469424","-37.90419503469424","-37.90419503469424"
"109","-37.4647519744339","-37.4647519744339","-37.4647519744339"
"110","-35.65482478357363","-35.65482478357363","-35.65482478357363"
"111","-33.247464287458094","-33.247464287458094","-33.247464287458094"
"112","-32.791076350833265","-32.791076350833265","-32.791076350833265"
"113","-31.902032589983275","-31.902032589983275","-31.902032589983275"
"114","-31.81318763992542","-31.81318763992542","-31.81318763992542"
"115","-31.80864911488737","-31.80864911488737","-31.80864911488737"
"116","-31.197156401887764","-31.197156401887764","-31.197156401887764"
"117","-29.757677081012723","-29.757677081012723","-29.757677081012723"
"118","-28.30108056577503","-28.30108056577503","-28.30108056577503"
"119","-27.146802854704053","-27.146802854704053","-27.146802854704053"
