"Step","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MAX"
"2","-237.8078407270647","-237.8078407270647","-237.8078407270647"
"5","-227.7435550451811","-227.7435550451811","-227.7435550451811"
"8","-230.7145780310158","-230.7145780310158","-230.7145780310158"
"11","-274.99440810197774","-274.99440810197774","-274.99440810197774"
"14","-244.49121555010112","-244.49121555010112","-244.49121555010112"
"17","-200.51775449688805","-200.51775449688805","-200.51775449688805"
"20","-211.03759968346762","-211.03759968346762","-211.03759968346762"
"23","-178.83728523895556","-178.83728523895556","-178.83728523895556"
"26","-192.65644950925127","-192.65644950925127","-192.65644950925127"
"29","-180.62190102778123","-180.62190102778123","-180.62190102778123"
"32","-162.83859733071566","-162.83859733071566","-162.83859733071566"
"35","-176.9607839998805","-176.9607839998805","-176.9607839998805"
"38","-191.84985049514714","-191.84985049514714","-191.84985049514714"
"41","-196.24588919670356","-196.24588919670356","-196.24588919670356"
"44","-204.7761037120709","-204.7761037120709","-204.7761037120709"
"47","-227.54490512431113","-227.54490512431113","-227.54490512431113"
"50","-224.07360006789244","-224.07360006789244","-224.07360006789244"
"53","-217.760070189056","-217.760070189056","-217.760070189056"
"56","-222.6196765829907","-222.6196765829907","-222.6196765829907"
"59","-217.18045887973375","-217.18045887973375","-217.18045887973375"
"62","-196.2223852405266","-196.2223852405266","-196.2223852405266"
"65","-200.8049341811027","-200.8049341811027","-200.8049341811027"
"68","-204.71117061296417","-204.71117061296417","-204.71117061296417"
"71","-201.90776672879906","-201.90776672879906","-201.90776672879906"
"74","-195.39208571629283","-195.39208571629283","-195.39208571629283"
"77","-186.10902764920684","-186.10902764920684","-186.10902764920684"
"80","-178.32883633568414","-178.32883633568414","-178.32883633568414"
"83","-171.3785250845133","-171.3785250845133","-171.3785250845133"
"86","-169.27804818014675","-169.27804818014675","-169.27804818014675"
"89","-166.94323585786873","-166.94323585786873","-166.94323585786873"
"92","-166.6276849012241","-166.6276849012241","-166.6276849012241"
"95","-161.75625291002916","-161.75625291002916","-161.75625291002916"
"98","-159.29778733748603","-159.29778733748603","-159.29778733748603"
"101","-163.26368564721264","-163.26368564721264","-163.26368564721264"
"104","-164.5207648707662","-164.5207648707662","-164.5207648707662"
"107","-164.84670629147368","-164.84670629147368","-164.84670629147368"
"110","-162.40236188008035","-162.40236188008035","-162.40236188008035"
"113","-171.20076035462634","-171.20076035462634","-171.20076035462634"
"116","-172.1510439976121","-172.1510439976121","-172.1510439976121"
"119","-171.86514591498857","-171.86514591498857","-171.86514591498857"
"122","-171.22566328333812","-171.22566328333812","-171.22566328333812"
"125","-168.76778036718537","-168.76778036718537","-168.76778036718537"
"128","-163.6700032303383","-163.6700032303383","-163.6700032303383"
"131","-161.05820365883403","-161.05820365883403","-161.05820365883403"
"134","-156.50147229093318","-156.50147229093318","-156.50147229093318"
"137","-155.7017448615249","-155.7017448615249","-155.7017448615249"
"140","-155.26918641938454","-155.26918641938454","-155.26918641938454"
"143","-152.95263301865432","-152.95263301865432","-152.95263301865432"
"146","-157.02435156004404","-157.02435156004404","-157.02435156004404"
"149","-153.23511896051568","-153.23511896051568","-153.23511896051568"
"152","-149.73047808022088","-149.73047808022088","-149.73047808022088"
"155","-151.03048300891984","-151.03048300891984","-151.03048300891984"
"158","-147.7105902587643","-147.7105902587643","-147.7105902587643"
"161","-145.34725475919598","-145.34725475919598","-145.34725475919598"
"164","-146.72087741567387","-146.72087741567387","-146.72087741567387"
"167","-143.993557845822","-143.993557845822","-143.993557845822"
"170","-143.79294537068537","-143.79294537068537","-143.79294537068537"
"173","-142.85803009388658","-142.85803009388658","-142.85803009388658"
"176","-142.19332670503388","-142.19332670503388","-142.19332670503388"
"179","-142.50854063419072","-142.50854063419072","-142.50854063419072"
"182","-139.49785463773293","-139.49785463773293","-139.49785463773293"
"185","-134.69173468986597","-134.69173468986597","-134.69173468986597"
"188","-133.1289520850991","-133.1289520850991","-133.1289520850991"
"191","-129.36418115159827","-129.36418115159827","-129.36418115159827"
"194","-129.5189602881703","-129.5189602881703","-129.5189602881703"
"197","-128.24928116459753","-128.24928116459753","-128.24928116459753"
"200","-127.68522051294644","-127.68522051294644","-127.68522051294644"
"203","-124.47329057372632","-124.47329057372632","-124.47329057372632"
"206","-123.98258232580248","-123.98258232580248","-123.98258232580248"
"209","-121.58135192568872","-121.58135192568872","-121.58135192568872"
"212","-120.67562408349272","-120.67562408349272","-120.67562408349272"
"215","-117.72697349276996","-117.72697349276996","-117.72697349276996"
"218","-112.4222229745287","-112.4222229745287","-112.4222229745287"
"221","-112.4060045849723","-112.4060045849723","-112.4060045849723"
"224","-110.98726974163078","-110.98726974163078","-110.98726974163078"
"227","-107.44948937784075","-107.44948937784075","-107.44948937784075"
"230","-104.2160606516707","-104.2160606516707","-104.2160606516707"
"233","-103.90557969328566","-103.90557969328566","-103.90557969328566"
"236","-103.40851405977773","-103.40851405977773","-103.40851405977773"
"239","-98.8220078568351","-98.8220078568351","-98.8220078568351"
"242","-96.7241144511813","-96.7241144511813","-96.7241144511813"
"245","-95.92880170715253","-95.92880170715253","-95.92880170715253"
"248","-93.2725471760905","-93.2725471760905","-93.2725471760905"
"251","-86.98593398688305","-86.98593398688305","-86.98593398688305"
