"Step","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)__MAX"
"2","-213.70490803343856","-213.70490803343856","-213.70490803343856"
"5","-83.34127229265789","-83.34127229265789","-83.34127229265789"
"8","-141.30047171999567","-141.30047171999567","-141.30047171999567"
"11","-186.2953832772681","-186.2953832772681","-186.2953832772681"
"14","-157.74835071443835","-157.74835071443835","-157.74835071443835"
"17","-151.11316767335157","-151.11316767335157","-151.11316767335157"
"20","-157.63631108397936","-157.63631108397936","-157.63631108397936"
"23","-170.6079372509583","-170.6079372509583","-170.6079372509583"
"26","-176.30626418642672","-176.30626418642672","-176.30626418642672"
"29","-174.4127723991327","-174.4127723991327","-174.4127723991327"
"32","-171.73260381036968","-171.73260381036968","-171.73260381036968"
"35","-161.02216444197026","-161.02216444197026","-161.02216444197026"
"38","-152.6565127325345","-152.6565127325345","-152.6565127325345"
"41","-141.0848416701063","-141.0848416701063","-141.0848416701063"
"44","-143.52630672269595","-143.52630672269595","-143.52630672269595"
"47","-140.15316769970903","-140.15316769970903","-140.15316769970903"
"50","-149.46158086129515","-149.46158086129515","-149.46158086129515"
"53","-152.68072178960085","-152.68072178960085","-152.68072178960085"
"56","-142.94512230678154","-142.94512230678154","-142.94512230678154"
"59","-145.24868303792866","-145.24868303792866","-145.24868303792866"
"62","-136.36369746620545","-136.36369746620545","-136.36369746620545"
"65","-149.30490047291804","-149.30490047291804","-149.30490047291804"
"68","-145.30887732996345","-145.30887732996345","-145.30887732996345"
"71","-139.43363407908504","-139.43363407908504","-139.43363407908504"
"74","-133.89931721228496","-133.89931721228496","-133.89931721228496"
"77","-134.5486745567514","-134.5486745567514","-134.5486745567514"
"80","-131.31654241847468","-131.31654241847468","-131.31654241847468"
"83","-134.9966740258871","-134.9966740258871","-134.9966740258871"
"86","-133.12855579312412","-133.12855579312412","-133.12855579312412"
"89","-134.78872774923056","-134.78872774923056","-134.78872774923056"
"92","-136.25308221160768","-136.25308221160768","-136.25308221160768"
"95","-132.1833587053408","-132.1833587053408","-132.1833587053408"
"98","-140.11080014534218","-140.11080014534218","-140.11080014534218"
"101","-143.01533523968058","-143.01533523968058","-143.01533523968058"
"104","-137.3122787457669","-137.3122787457669","-137.3122787457669"
"107","-140.1397617255372","-140.1397617255372","-140.1397617255372"
"110","-141.60176380077664","-141.60176380077664","-141.60176380077664"
"113","-136.10291385351331","-136.10291385351331","-136.10291385351331"
"116","-133.8339925029723","-133.8339925029723","-133.8339925029723"
"119","-129.74093775532486","-129.74093775532486","-129.74093775532486"
"122","-129.35726047392436","-129.35726047392436","-129.35726047392436"
"125","-132.5972899688626","-132.5972899688626","-132.5972899688626"
"128","-133.51295430514938","-133.51295430514938","-133.51295430514938"
