Step,DDPG-MADDPG_4_2 - Mean Episode Reward (Last 200 episodes),DDPG-MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN,DDPG-MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX
2,-207.131241996457,-207.131241996457,-207.131241996457
5,-146.81123236271702,-146.81123236271702,-146.81123236271702
8,-141.58045964203004,-141.58045964203004,-141.58045964203004
11,-125.20442486365218,-125.20442486365218,-125.20442486365218
14,-113.43655676711356,-113.43655676711356,-113.43655676711356
17,-126.70188564169656,-126.70188564169656,-126.70188564169656
20,-156.0917665516665,-156.0917665516665,-156.0917665516665
23,-152.06757074771943,-152.06757074771943,-152.06757074771943
26,-157.46888608193865,-157.46888608193865,-157.46888608193865
29,-160.01927581311742,-160.01927581311742,-160.01927581311742
32,-171.0269452020422,-171.0269452020422,-171.0269452020422
35,-185.7020143916725,-185.7020143916725,-185.7020143916725
38,-201.2518742963357,-201.2518742963357,-201.2518742963357
41,-198.6238860548165,-198.6238860548165,-198.6238860548165
44,-198.5891150053093,-198.5891150053093,-198.5891150053093
47,-197.81846297024543,-197.81846297024543,-197.81846297024543
50,-204.6783363521936,-204.6783363521936,-204.6783363521936
53,-206.56428950166048,-206.56428950166048,-206.56428950166048
56,-204.06222090980305,-204.06222090980305,-204.06222090980305
59,-212.9367095044332,-212.9367095044332,-212.9367095044332
62,-208.02741985178304,-208.02741985178304,-208.02741985178304
65,-202.7168728514882,-202.7168728514882,-202.7168728514882
68,-203.1183851081344,-203.1183851081344,-203.1183851081344
71,-199.74737548745168,-199.74737548745168,-199.74737548745168
74,-203.9563519748504,-203.9563519748504,-203.9563519748504
77,-205.91812837813583,-205.91812837813583,-205.91812837813583
80,-208.81779312966447,-208.81779312966447,-208.81779312966447
83,-211.644624719174,-211.644624719174,-211.644624719174
86,-206.51222497812049,-206.51222497812049,-206.51222497812049
89,-198.6485316801159,-198.6485316801159,-198.6485316801159
92,-190.03075040627016,-190.03075040627016,-190.03075040627016
95,-191.7547646138389,-191.7547646138389,-191.7547646138389
98,-197.37692471880283,-197.37692471880283,-197.37692471880283
101,-196.90011407955865,-196.90011407955865,-196.90011407955865
104,-194.0368986663528,-194.0368986663528,-194.0368986663528
107,-199.28410938843348,-199.28410938843348,-199.28410938843348
110,-197.69090167949608,-197.69090167949608,-197.69090167949608
113,-195.08598154602143,-195.08598154602143,-195.08598154602143
116,-196.3252919372476,-196.3252919372476,-196.3252919372476
119,-190.62818345845196,-190.62818345845196,-190.62818345845196
122,-187.32318295446703,-187.32318295446703,-187.32318295446703
125,-187.54894395749503,-187.54894395749503,-187.54894395749503
128,-184.22210876873524,-184.22210876873524,-184.22210876873524
131,-179.20097565593247,-179.20097565593247,-179.20097565593247
134,-177.08207924599304,-177.08207924599304,-177.08207924599304
137,-174.53769227311366,-174.53769227311366,-174.53769227311366
140,-173.6663775918714,-173.6663775918714,-173.6663775918714
143,-171.0693562927221,-171.0693562927221,-171.0693562927221
146,-170.9452763442717,-170.9452763442717,-170.9452763442717
149,-172.3226979704259,-172.3226979704259,-172.3226979704259
152,-171.25020260883292,-171.25020260883292,-171.25020260883292
