"Step","DQN_DQN_4_2 - Mean Episode Reward (Last 1000 episodes)","DQN_DQN_4_2 - Mean Episode Reward (Last 1000 episodes)__MIN","DQN_DQN_4_2 - Mean Episode Reward (Last 1000 episodes)__MAX"
"0","-63.70413000362341","-63.70413000362341","-63.70413000362341"
"1","-82.02450154632474","-82.02450154632474","-82.02450154632474"
"2","-104.8729256863092","-104.8729256863092","-104.8729256863092"
"3","-105.99332562679903","-105.99332562679903","-105.99332562679903"
"4","-103.46057160422865","-103.46057160422865","-103.46057160422865"
"5","-74.65965142463828","-74.65965142463828","-74.65965142463828"
"6","-79.47167316793856","-79.47167316793856","-79.47167316793856"
"7","-82.93719713194145","-82.93719713194145","-82.93719713194145"
"8","-75.88590126215898","-75.88590126215898","-75.88590126215898"
"9","-76.29679273636437","-76.29679273636437","-76.29679273636437"
"10","-67.54826860767092","-67.54826860767092","-67.54826860767092"
"11","-69.20842013923782","-69.20842013923782","-69.20842013923782"
"12","-70.10283704522381","-70.10283704522381","-70.10283704522381"
"13","-68.76789123761705","-68.76789123761705","-68.76789123761705"
"14","-64.8971717353878","-64.8971717353878","-64.8971717353878"
"15","-66.40153767934423","-66.40153767934423","-66.40153767934423"
"16","-69.25691029568348","-69.25691029568348","-69.25691029568348"
"17","-66.52472305774539","-66.52472305774539","-66.52472305774539"
"18","-67.88403944806046","-67.88403944806046","-67.88403944806046"
"19","-64.0364467862039","-64.0364467862039","-64.0364467862039"
"20","-69.99444492178745","-69.99444492178745","-69.99444492178745"
"21","-69.76277573966416","-69.76277573966416","-69.76277573966416"
"22","-69.16277609050697","-69.16277609050697","-69.16277609050697"
"23","-68.19644276093456","-68.19644276093456","-68.19644276093456"
"24","-66.17119290895657","-66.17119290895657","-66.17119290895657"
"25","-65.46302318659582","-65.46302318659582","-65.46302318659582"
"26","-69.64913376044895","-69.64913376044895","-69.64913376044895"
"27","-67.90326584308252","-67.90326584308252","-67.90326584308252"
"28","-71.49417749106989","-71.49417749106989","-71.49417749106989"
"29","-71.46137239586386","-71.46137239586386","-71.46137239586386"
"30","-70.90977599882923","-70.90977599882923","-70.90977599882923"
"31","-71.14138584420276","-71.14138584420276","-71.14138584420276"
"32","-71.93087331131687","-71.93087331131687","-71.93087331131687"
"33","-72.4394185995908","-72.4394185995908","-72.4394185995908"
"34","-75.09034005769574","-75.09034005769574","-75.09034005769574"
"35","-75.772026858771","-75.772026858771","-75.772026858771"
"36","-75.68972781596216","-75.68972781596216","-75.68972781596216"
"37","-77.82569127274726","-77.82569127274726","-77.82569127274726"
"38","-80.06267960121214","-80.06267960121214","-80.06267960121214"
"39","-76.82522171348036","-76.82522171348036","-76.82522171348036"
"40","-76.35888476284985","-76.35888476284985","-76.35888476284985"
"41","-76.89870185871405","-76.89870185871405","-76.89870185871405"
"42","-80.73112384090159","-80.73112384090159","-80.73112384090159"
"43","-78.4718197086279","-78.4718197086279","-78.4718197086279"
"44","-78.0718312963172","-78.0718312963172","-78.0718312963172"
"45","-76.56765840447898","-76.56765840447898","-76.56765840447898"
"46","-75.56433448955106","-75.56433448955106","-75.56433448955106"
"47","-77.57408630740484","-77.57408630740484","-77.57408630740484"
"48","-76.75619506471341","-76.75619506471341","-76.75619506471341"
"49","-78.14864670784583","-78.14864670784583","-78.14864670784583"
"50","-76.73618593906552","-76.73618593906552","-76.73618593906552"
"51","-78.25263132087271","-78.25263132087271","-78.25263132087271"
"52","-79.0332896741129","-79.0332896741129","-79.0332896741129"
"53","-81.20691043778034","-81.20691043778034","-81.20691043778034"
"54","-78.22453204960419","-78.22453204960419","-78.22453204960419"
"55","-76.50337446245973","-76.50337446245973","-76.50337446245973"
"56","-76.72636698752628","-76.72636698752628","-76.72636698752628"
"57","-77.47833988336876","-77.47833988336876","-77.47833988336876"
"58","-78.72447416278693","-78.72447416278693","-78.72447416278693"
"59","-80.89459484093702","-80.89459484093702","-80.89459484093702"
"60","-81.37470198662798","-81.37470198662798","-81.37470198662798"
"61","-82.21952635147494","-82.21952635147494","-82.21952635147494"
"62","-84.24597187155761","-84.24597187155761","-84.24597187155761"
"63","-86.0234822203427","-86.0234822203427","-86.0234822203427"
"64","-85.99054624196437","-85.99054624196437","-85.99054624196437"
"65","-86.7323269107351","-86.7323269107351","-86.7323269107351"
"66","-87.7112277521685","-87.7112277521685","-87.7112277521685"
"67","-86.03548248023127","-86.03548248023127","-86.03548248023127"
"68","-85.56036996304911","-85.56036996304911","-85.56036996304911"
"69","-85.54392277888854","-85.54392277888854","-85.54392277888854"
"70","-86.55665719262451","-86.55665719262451","-86.55665719262451"
"71","-85.8791638357256","-85.8791638357256","-85.8791638357256"
"72","-85.70478604687843","-85.70478604687843","-85.70478604687843"
"73","-88.59222706220655","-88.59222706220655","-88.59222706220655"
"74","-90.83304798952439","-90.83304798952439","-90.83304798952439"
"75","-88.97398297441376","-88.97398297441376","-88.97398297441376"
"76","-90.66954692223376","-90.66954692223376","-90.66954692223376"
"77","-90.35101032762302","-90.35101032762302","-90.35101032762302"
"78","-91.69112806441802","-91.69112806441802","-91.69112806441802"
"79","-91.853336889146","-91.853336889146","-91.853336889146"
"80","-92.91552724684365","-92.91552724684365","-92.91552724684365"
"81","-92.83597564365702","-92.83597564365702","-92.83597564365702"
"82","-92.59890144318948","-92.59890144318948","-92.59890144318948"
"83","-93.12007884391157","-93.12007884391157","-93.12007884391157"
"84","-93.580365305366","-93.580365305366","-93.580365305366"
"85","-93.40819842371955","-93.40819842371955","-93.40819842371955"
"86","-92.85143432247004","-92.85143432247004","-92.85143432247004"
"87","-92.68182274189293","-92.68182274189293","-92.68182274189293"
"88","-93.89967916410862","-93.89967916410862","-93.89967916410862"
"89","-96.19666733792617","-96.19666733792617","-96.19666733792617"
"90","-96.34724371426421","-96.34724371426421","-96.34724371426421"
"91","-97.15460519945722","-97.15460519945722","-97.15460519945722"
"92","-98.09485454371317","-98.09485454371317","-98.09485454371317"
"93","-99.51501076069856","-99.51501076069856","-99.51501076069856"
"94","-100.13129474874526","-100.13129474874526","-100.13129474874526"
"95","-101.24632877026158","-101.24632877026158","-101.24632877026158"
