"Step","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MIN","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MAX","MADDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MAX","MADDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-114.25981366084437","-114.25981366084437","-114.25981366084437","-27.870153915580353","-27.870153915580353","-27.870153915580353","10.16001381551215","10.16001381551215","10.16001381551215"
"1","-95.6030123533612","-95.6030123533612","-95.6030123533612","-27.231437129008498","-27.231437129008498","-27.231437129008498","-128.08713691745075","-128.08713691745075","-128.08713691745075"
"2","-69.98664498267969","-69.98664498267969","-69.98664498267969","-24.468848850637013","-24.468848850637013","-24.468848850637013","-100.97284068973393","-100.97284068973393","-100.97284068973393"
"3","-50.07869645833048","-50.07869645833048","-50.07869645833048","-34.638111793254","-34.638111793254","-34.638111793254","-90.35050294431339","-90.35050294431339","-90.35050294431339"
"4","-52.87964662039367","-52.87964662039367","-52.87964662039367","-55.32383647608837","-55.32383647608837","-55.32383647608837","-100.34984672848847","-100.34984672848847","-100.34984672848847"
"5","-52.815055977816236","-52.815055977816236","-52.815055977816236","-78.99493447073172","-78.99493447073172","-78.99493447073172","-132.58594074948962","-132.58594074948962","-132.58594074948962"
"6","-44.79978274154568","-44.79978274154568","-44.79978274154568","-113.50469920629568","-113.50469920629568","-113.50469920629568","-122.82714956714254","-122.82714956714254","-122.82714956714254"
"7","-51.63599503634236","-51.63599503634236","-51.63599503634236","-107.14305005012562","-107.14305005012562","-107.14305005012562","-132.07814442149837","-132.07814442149837","-132.07814442149837"
"8","-47.59713388504515","-47.59713388504515","-47.59713388504515","-105.04583839073527","-105.04583839073527","-105.04583839073527","-131.2312376965708","-131.2312376965708","-131.2312376965708"
"9","-58.86777068255087","-58.86777068255087","-58.86777068255087","-109.22288468857055","-109.22288468857055","-109.22288468857055","-125.55691100394924","-125.55691100394924","-125.55691100394924"
"10","-53.154312530521345","-53.154312530521345","-53.154312530521345","-117.23900838914894","-117.23900838914894","-117.23900838914894","-119.10282437632209","-119.10282437632209","-119.10282437632209"
"11","-51.476533073405925","-51.476533073405925","-51.476533073405925","-121.3908159593575","-121.3908159593575","-121.3908159593575","-116.07996155133975","-116.07996155133975","-116.07996155133975"
"12","-53.32560001648686","-53.32560001648686","-53.32560001648686","-133.6184820128551","-133.6184820128551","-133.6184820128551","-123.29184409398937","-123.29184409398937","-123.29184409398937"
"13","-51.37437409339678","-51.37437409339678","-51.37437409339678","-137.58950647858066","-137.58950647858066","-137.58950647858066","-129.7788545591423","-129.7788545591423","-129.7788545591423"
"14","-49.75115413035078","-49.75115413035078","-49.75115413035078","-130.40553583096954","-130.40553583096954","-130.40553583096954","-134.81364675190005","-134.81364675190005","-134.81364675190005"
"15","-50.578583942705315","-50.578583942705315","-50.578583942705315","-126.14300849021902","-126.14300849021902","-126.14300849021902","-135.53723139317384","-135.53723139317384","-135.53723139317384"
"16","-51.3666511004444","-51.3666511004444","-51.3666511004444","-135.46318576890909","-135.46318576890909","-135.46318576890909","-136.52052489491848","-136.52052489491848","-136.52052489491848"
"17","-50.43727995572407","-50.43727995572407","-50.43727995572407","-133.57848330959476","-133.57848330959476","-133.57848330959476","-140.85904450214917","-140.85904450214917","-140.85904450214917"
"18","-51.88798172023959","-51.88798172023959","-51.88798172023959","-131.6510833396115","-131.6510833396115","-131.6510833396115","-145.4626887807569","-145.4626887807569","-145.4626887807569"
"19","-51.01483804262434","-51.01483804262434","-51.01483804262434","-137.2749534938261","-137.2749534938261","-137.2749534938261","-144.95160377245244","-144.95160377245244","-144.95160377245244"
"20","-50.29196750274035","-50.29196750274035","-50.29196750274035","-132.0874415453269","-132.0874415453269","-132.0874415453269","-147.4187996523688","-147.4187996523688","-147.4187996523688"
"21","-51.53754289919975","-51.53754289919975","-51.53754289919975","-130.18153424446382","-130.18153424446382","-130.18153424446382","-145.9904967243368","-145.9904967243368","-145.9904967243368"
"22","-50.2886530375314","-50.2886530375314","-50.2886530375314","-136.21303345426864","-136.21303345426864","-136.21303345426864","-143.4787909350242","-143.4787909350242","-143.4787909350242"
"23","-48.70596017665343","-48.70596017665343","-48.70596017665343","-141.72835691023747","-141.72835691023747","-141.72835691023747","-140.3924107103895","-140.3924107103895","-140.3924107103895"
"24","-50.50899995885677","-50.50899995885677","-50.50899995885677","-139.75477792304181","-139.75477792304181","-139.75477792304181","-140.46408028063016","-140.46408028063016","-140.46408028063016"
"25","-51.375221656734396","-51.375221656734396","-51.375221656734396","-137.05454332864934","-137.05454332864934","-137.05454332864934","-137.81026828894548","-137.81026828894548","-137.81026828894548"
"26","-53.0178341065298","-53.0178341065298","-53.0178341065298","-137.53681017979127","-137.53681017979127","-137.53681017979127","-132.6282560711987","-132.6282560711987","-132.6282560711987"
"27","-52.24083771012981","-52.24083771012981","-52.24083771012981","-134.13997181191564","-134.13997181191564","-134.13997181191564","-130.87764012637825","-130.87764012637825","-130.87764012637825"
"28","-48.821423017219054","-48.821423017219054","-48.821423017219054","-132.37391371066957","-132.37391371066957","-132.37391371066957","-132.60366106652182","-132.60366106652182","-132.60366106652182"
"29","-48.700361384553574","-48.700361384553574","-48.700361384553574","-130.80936279270327","-130.80936279270327","-130.80936279270327","-135.15898286720378","-135.15898286720378","-135.15898286720378"
"30","-49.136038692013685","-49.136038692013685","-49.136038692013685","-124.98737235747757","-124.98737235747757","-124.98737235747757","-136.17832710613888","-136.17832710613888","-136.17832710613888"
"31","-47.38268658783603","-47.38268658783603","-47.38268658783603","-122.01579015600142","-122.01579015600142","-122.01579015600142","-133.1035575894027","-133.1035575894027","-133.1035575894027"
"32","-46.94320527395259","-46.94320527395259","-46.94320527395259","-121.51094907197466","-121.51094907197466","-121.51094907197466","-130.7570894625696","-130.7570894625696","-130.7570894625696"
"33","-46.39070328859258","-46.39070328859258","-46.39070328859258","-117.63173007422587","-117.63173007422587","-117.63173007422587","-126.78416229488646","-126.78416229488646","-126.78416229488646"
"34","-48.297846482977015","-48.297846482977015","-48.297846482977015","-114.9146284206227","-114.9146284206227","-114.9146284206227","-126.46801576912013","-126.46801576912013","-126.46801576912013"
"35","-49.41515554005032","-49.41515554005032","-49.41515554005032","-111.33514185226439","-111.33514185226439","-111.33514185226439","-125.27106228735448","-125.27106228735448","-125.27106228735448"
"36","-49.69878031129582","-49.69878031129582","-49.69878031129582","-109.37475737928392","-109.37475737928392","-109.37475737928392","-124.84777318870134","-124.84777318870134","-124.84777318870134"
"37","-50.09269207353009","-50.09269207353009","-50.09269207353009","-107.13457427701994","-107.13457427701994","-107.13457427701994","-122.1015246539484","-122.1015246539484","-122.1015246539484"
"38","-49.955839674090335","-49.955839674090335","-49.955839674090335","-106.12220286610034","-106.12220286610034","-106.12220286610034","-122.14872689037279","-122.14872689037279","-122.14872689037279"
"39","-50.30923340017652","-50.30923340017652","-50.30923340017652","-103.78614828628402","-103.78614828628402","-103.78614828628402","-124.34311872603443","-124.34311872603443","-124.34311872603443"
"40","-49.29480811668043","-49.29480811668043","-49.29480811668043","-99.77989632115899","-99.77989632115899","-99.77989632115899","-123.13821359554163","-123.13821359554163","-123.13821359554163"
"41","-49.81510347653276","-49.81510347653276","-49.81510347653276","-97.54633163165896","-97.54633163165896","-97.54633163165896","-124.09537743568059","-124.09537743568059","-124.09537743568059"
"42","-50.39233125166512","-50.39233125166512","-50.39233125166512","-95.73386774891588","-95.73386774891588","-95.73386774891588","-121.9468941798288","-121.9468941798288","-121.9468941798288"
"43","-51.62628261608617","-51.62628261608617","-51.62628261608617","-93.85936639511337","-93.85936639511337","-93.85936639511337","-122.25591976868992","-122.25591976868992","-122.25591976868992"
"44","-52.62560736821277","-52.62560736821277","-52.62560736821277","-92.11046445305146","-92.11046445305146","-92.11046445305146","-122.07494906508663","-122.07494906508663","-122.07494906508663"
"45","-53.67065522042923","-53.67065522042923","-53.67065522042923","-90.5300865272548","-90.5300865272548","-90.5300865272548","-121.73986742045186","-121.73986742045186","-121.73986742045186"
"46","-53.057348659831746","-53.057348659831746","-53.057348659831746","-88.81824540566072","-88.81824540566072","-88.81824540566072","-125.15161186433626","-125.15161186433626","-125.15161186433626"
"47","-53.2396265384779","-53.2396265384779","-53.2396265384779","-86.31239375668015","-86.31239375668015","-86.31239375668015","-126.32835782837954","-126.32835782837954","-126.32835782837954"
"48","-53.050799001993646","-53.050799001993646","-53.050799001993646","-84.60310927343757","-84.60310927343757","-84.60310927343757","-127.24256530760954","-127.24256530760954","-127.24256530760954"
"49","-52.79019626098411","-52.79019626098411","-52.79019626098411","-81.11860364287578","-81.11860364287578","-81.11860364287578","-127.5842980836832","-127.5842980836832","-127.5842980836832"
"50","-53.33034727809416","-53.33034727809416","-53.33034727809416","-81.14484586502638","-81.14484586502638","-81.14484586502638","-129.43521247818967","-129.43521247818967","-129.43521247818967"
"51","-53.365481425178636","-53.365481425178636","-53.365481425178636","-79.57272365435841","-79.57272365435841","-79.57272365435841","-130.3670973173512","-130.3670973173512","-130.3670973173512"
"52","-53.49489943785028","-53.49489943785028","-53.49489943785028","-76.7733124323921","-76.7733124323921","-76.7733124323921","-131.07519383709712","-131.07519383709712","-131.07519383709712"
"53","-53.32687576827772","-53.32687576827772","-53.32687576827772","-76.28865560247344","-76.28865560247344","-76.28865560247344","-129.6477688950546","-129.6477688950546","-129.6477688950546"
"54","-53.72031034379584","-53.72031034379584","-53.72031034379584","-75.12825995386804","-75.12825995386804","-75.12825995386804","-131.30967848447628","-131.30967848447628","-131.30967848447628"
"55","-54.897085189293236","-54.897085189293236","-54.897085189293236","-74.12964246950084","-74.12964246950084","-74.12964246950084","-131.6367773995846","-131.6367773995846","-131.6367773995846"
"56","-54.502191062185986","-54.502191062185986","-54.502191062185986","-73.99459301381704","-73.99459301381704","-73.99459301381704","-131.99050728866587","-131.99050728866587","-131.99050728866587"
"57","-55.59257128467953","-55.59257128467953","-55.59257128467953","-72.93143292662434","-72.93143292662434","-72.93143292662434","-132.71060688684466","-132.71060688684466","-132.71060688684466"
"58","-54.20658187730585","-54.20658187730585","-54.20658187730585","-67.71579373096526","-67.71579373096526","-67.71579373096526","-133.48284171449734","-133.48284171449734","-133.48284171449734"
"59","-53.797311254855224","-53.797311254855224","-53.797311254855224","-66.53761753456968","-66.53761753456968","-66.53761753456968","-133.62219097780385","-133.62219097780385","-133.62219097780385"
"60","-51.555656466032076","-51.555656466032076","-51.555656466032076","-67.04360315177969","-67.04360315177969","-67.04360315177969","-134.03729046492214","-134.03729046492214","-134.03729046492214"
"61","-51.082274917187064","-51.082274917187064","-51.082274917187064","-66.47016989453292","-66.47016989453292","-66.47016989453292","-134.20007725180736","-134.20007725180736","-134.20007725180736"
"62","-50.674345222149626","-50.674345222149626","-50.674345222149626","-65.68020013821864","-65.68020013821864","-65.68020013821864","-137.9556867285892","-137.9556867285892","-137.9556867285892"
"63","-49.5488486972317","-49.5488486972317","-49.5488486972317","-64.63407301777609","-64.63407301777609","-64.63407301777609","-136.26776819985605","-136.26776819985605","-136.26776819985605"
"64","-50.77743887199464","-50.77743887199464","-50.77743887199464","-63.82407552347087","-63.82407552347087","-63.82407552347087","-135.51059755560837","-135.51059755560837","-135.51059755560837"
"65","-49.81081148780676","-49.81081148780676","-49.81081148780676","-63.014578107851655","-63.014578107851655","-63.014578107851655","-136.17081865292843","-136.17081865292843","-136.17081865292843"
"66","-50.7846562966606","-50.7846562966606","-50.7846562966606","-62.72645652651565","-62.72645652651565","-62.72645652651565","-136.3422108890215","-136.3422108890215","-136.3422108890215"
"67","-52.32109561704659","-52.32109561704659","-52.32109561704659","-62.38624967599645","-62.38624967599645","-62.38624967599645","-133.97721917212567","-133.97721917212567","-133.97721917212567"
"68","-53.13253709696764","-53.13253709696764","-53.13253709696764","-61.680805501711646","-61.680805501711646","-61.680805501711646","-132.7655215085028","-132.7655215085028","-132.7655215085028"
"69","-54.084446491455004","-54.084446491455004","-54.084446491455004","-59.52587973620966","-59.52587973620966","-59.52587973620966","-133.5309842791299","-133.5309842791299","-133.5309842791299"
"70","-54.03541947123832","-54.03541947123832","-54.03541947123832","-59.504971105888565","-59.504971105888565","-59.504971105888565","-134.45173656229196","-134.45173656229196","-134.45173656229196"
"71","-53.84737628073069","-53.84737628073069","-53.84737628073069","-58.242572573784656","-58.242572573784656","-58.242572573784656","-134.4896596218019","-134.4896596218019","-134.4896596218019"
"72","-53.148221303205766","-53.148221303205766","-53.148221303205766","-57.62434110249849","-57.62434110249849","-57.62434110249849","-134.4040795488088","-134.4040795488088","-134.4040795488088"
"73","-54.57053503280299","-54.57053503280299","-54.57053503280299","-56.12670769666374","-56.12670769666374","-56.12670769666374","-133.56352129177318","-133.56352129177318","-133.56352129177318"
"74","-55.04391819445885","-55.04391819445885","-55.04391819445885","-55.49842352582304","-55.49842352582304","-55.49842352582304","-132.5152973566013","-132.5152973566013","-132.5152973566013"
"75","-54.8131581650725","-54.8131581650725","-54.8131581650725","-53.00601983941369","-53.00601983941369","-53.00601983941369","-131.87746912816132","-131.87746912816132","-131.87746912816132"
"76","-54.52035551159536","-54.52035551159536","-54.52035551159536","-52.44376693547518","-52.44376693547518","-52.44376693547518","-130.2568447660599","-130.2568447660599","-130.2568447660599"
"77","-55.06756047023022","-55.06756047023022","-55.06756047023022","-52.28673745028696","-52.28673745028696","-52.28673745028696","-129.1049376669348","-129.1049376669348","-129.1049376669348"
"78","-54.67482782448268","-54.67482782448268","-54.67482782448268","-51.77015499912209","-51.77015499912209","-51.77015499912209","-127.58690875280304","-127.58690875280304","-127.58690875280304"
"79","-54.403699149907176","-54.403699149907176","-54.403699149907176","-51.444283810744096","-51.444283810744096","-51.444283810744096","-125.73977365989654","-125.73977365989654","-125.73977365989654"
"80","-54.36838158442308","-54.36838158442308","-54.36838158442308","-50.93193481776243","-50.93193481776243","-50.93193481776243","-124.4982905499949","-124.4982905499949","-124.4982905499949"
"81","-55.03430992672392","-55.03430992672392","-55.03430992672392","-50.35892977173541","-50.35892977173541","-50.35892977173541","-123.43674630695054","-123.43674630695054","-123.43674630695054"
"82","-55.259375248283845","-55.259375248283845","-55.259375248283845","-49.64528811651425","-49.64528811651425","-49.64528811651425","-122.40292713678089","-122.40292713678089","-122.40292713678089"
"83","-55.10744416374636","-55.10744416374636","-55.10744416374636","-49.16823230526783","-49.16823230526783","-49.16823230526783","-121.50329592199036","-121.50329592199036","-121.50329592199036"
"84","-54.88624887245993","-54.88624887245993","-54.88624887245993","-48.33900687052062","-48.33900687052062","-48.33900687052062","-120.86875841331886","-120.86875841331886","-120.86875841331886"
"85","-54.7963887552003","-54.7963887552003","-54.7963887552003","-47.42387710154649","-47.42387710154649","-47.42387710154649","-119.62258720710786","-119.62258720710786","-119.62258720710786"
"86","-53.93656494548885","-53.93656494548885","-53.93656494548885","-47.52203953072931","-47.52203953072931","-47.52203953072931","-118.73216595019115","-118.73216595019115","-118.73216595019115"
"87","-54.39285105784017","-54.39285105784017","-54.39285105784017","-46.20447692115087","-46.20447692115087","-46.20447692115087","-117.72106987214251","-117.72106987214251","-117.72106987214251"
"88","-54.603871666274564","-54.603871666274564","-54.603871666274564","-45.85703797783854","-45.85703797783854","-45.85703797783854","-117.8717090017867","-117.8717090017867","-117.8717090017867"
"89","-54.93155004286741","-54.93155004286741","-54.93155004286741","-46.152210760833626","-46.152210760833626","-46.152210760833626","-117.17813535780945","-117.17813535780945","-117.17813535780945"
"90","-54.414117762549814","-54.414117762549814","-54.414117762549814","-45.75526078314471","-45.75526078314471","-45.75526078314471","-116.64149615846362","-116.64149615846362","-116.64149615846362"
"91","-54.11486953503554","-54.11486953503554","-54.11486953503554","-45.223618299127835","-45.223618299127835","-45.223618299127835","-115.51225392508094","-115.51225392508094","-115.51225392508094"
"92","-53.728137965786374","-53.728137965786374","-53.728137965786374","-45.007466143029","-45.007466143029","-45.007466143029","-113.79884749212096","-113.79884749212096","-113.79884749212096"
"93","-54.47486014158559","-54.47486014158559","-54.47486014158559","-43.95046983530986","-43.95046983530986","-43.95046983530986","-111.7752975682826","-111.7752975682826","-111.7752975682826"
"94","-54.15422865579347","-54.15422865579347","-54.15422865579347","-43.58387164432199","-43.58387164432199","-43.58387164432199","-110.9248991562711","-110.9248991562711","-110.9248991562711"
"95","-54.29603813783509","-54.29603813783509","-54.29603813783509","-43.14742208515137","-43.14742208515137","-43.14742208515137","-110.05405031172846","-110.05405031172846","-110.05405031172846"
"96","-54.648472914231945","-54.648472914231945","-54.648472914231945","-42.80211951937529","-42.80211951937529","-42.80211951937529","-108.98086742554506","-108.98086742554506","-108.98086742554506"
"97","-53.85124330833474","-53.85124330833474","-53.85124330833474","-42.52186976066204","-42.52186976066204","-42.52186976066204","-107.98317803992884","-107.98317803992884","-107.98317803992884"
"98","-53.538033091618054","-53.538033091618054","-53.538033091618054","-42.33211982046135","-42.33211982046135","-42.33211982046135","-107.75501022951023","-107.75501022951023","-107.75501022951023"
