"Step","MADDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-35.955845672083335","-35.955845672083335","-35.955845672083335"
"1","-37.85933314608839","-37.85933314608839","-37.85933314608839"
"2","-77.40209019811527","-77.40209019811527","-77.40209019811527"
"3","-98.83719079807341","-98.83719079807341","-98.83719079807341"
"4","-90.13912251358776","-90.13912251358776","-90.13912251358776"
"5","-96.02123501965666","-96.02123501965666","-96.02123501965666"
"6","-86.7098082963313","-86.7098082963313","-86.7098082963313"
"7","-87.41876834208996","-87.41876834208996","-87.41876834208996"
"8","-95.85456060246234","-95.85456060246234","-95.85456060246234"
"9","-98.22933080888637","-98.22933080888637","-98.22933080888637"
"10","-96.94521092514748","-96.94521092514748","-96.94521092514748"
"11","-106.51383548216984","-106.51383548216984","-106.51383548216984"
"12","-102.12548604171023","-102.12548604171023","-102.12548604171023"
"13","-108.39583884904084","-108.39583884904084","-108.39583884904084"
"14","-106.76936261329121","-106.76936261329121","-106.76936261329121"
"15","-102.30557343199682","-102.30557343199682","-102.30557343199682"
"16","-106.66085514223396","-106.66085514223396","-106.66085514223396"
"17","-106.26611273534611","-106.26611273534611","-106.26611273534611"
"18","-104.09020252913886","-104.09020252913886","-104.09020252913886"
"19","-101.46577808864801","-101.46577808864801","-101.46577808864801"
"20","-103.3028115323995","-103.3028115323995","-103.3028115323995"
"21","-106.19372538164227","-106.19372538164227","-106.19372538164227"
"22","-108.36389021557439","-108.36389021557439","-108.36389021557439"
"23","-105.80713569718544","-105.80713569718544","-105.80713569718544"
"24","-102.21917697762613","-102.21917697762613","-102.21917697762613"
"25","-102.23614219356392","-102.23614219356392","-102.23614219356392"
"26","-101.17551818530853","-101.17551818530853","-101.17551818530853"
"27","-102.56771135382999","-102.56771135382999","-102.56771135382999"
"28","-99.6541323815714","-99.6541323815714","-99.6541323815714"
"29","-98.26730979780992","-98.26730979780992","-98.26730979780992"
"30","-95.5536406636521","-95.5536406636521","-95.5536406636521"
"31","-93.0541484358524","-93.0541484358524","-93.0541484358524"
"32","-95.16769813248864","-95.16769813248864","-95.16769813248864"
"33","-93.92325337259713","-93.92325337259713","-93.92325337259713"
"34","-92.63217589924693","-92.63217589924693","-92.63217589924693"
"35","-91.25567330516748","-91.25567330516748","-91.25567330516748"
"36","-94.25245026966937","-94.25245026966937","-94.25245026966937"
"37","-92.5937915570739","-92.5937915570739","-92.5937915570739"
"38","-93.33103488100217","-93.33103488100217","-93.33103488100217"
"39","-91.35759510376812","-91.35759510376812","-91.35759510376812"
"40","-91.33981953013635","-91.33981953013635","-91.33981953013635"
"41","-89.46715275546656","-89.46715275546656","-89.46715275546656"
"42","-87.72972778945807","-87.72972778945807","-87.72972778945807"
"43","-86.21866957258985","-86.21866957258985","-86.21866957258985"
"44","-85.21387335809635","-85.21387335809635","-85.21387335809635"
"45","-82.46178409782213","-82.46178409782213","-82.46178409782213"
"46","-79.63760693333751","-79.63760693333751","-79.63760693333751"
"47","-78.2991219584633","-78.2991219584633","-78.2991219584633"
"48","-77.03270101571596","-77.03270101571596","-77.03270101571596"
"49","-73.7747558898893","-73.7747558898893","-73.7747558898893"
"50","-72.56049069126183","-72.56049069126183","-72.56049069126183"
"51","-74.32097242390475","-74.32097242390475","-74.32097242390475"
"52","-73.28134892127352","-73.28134892127352","-73.28134892127352"
"53","-72.54369101505519","-72.54369101505519","-72.54369101505519"
"54","-71.15225629379498","-71.15225629379498","-71.15225629379498"
"55","-70.0706091919854","-70.0706091919854","-70.0706091919854"
"56","-68.80236119686117","-68.80236119686117","-68.80236119686117"
"57","-67.86301848035983","-67.86301848035983","-67.86301848035983"
"58","-67.95907132087834","-67.95907132087834","-67.95907132087834"
"59","-68.39576121054871","-68.39576121054871","-68.39576121054871"
"60","-68.94112838961","-68.94112838961","-68.94112838961"
"61","-71.03547320746544","-71.03547320746544","-71.03547320746544"
"62","-68.99687677830173","-68.99687677830173","-68.99687677830173"
"63","-68.0894358069047","-68.0894358069047","-68.0894358069047"
"64","-67.72921834456541","-67.72921834456541","-67.72921834456541"
"65","-67.15138219569843","-67.15138219569843","-67.15138219569843"
"66","-65.7119143845464","-65.7119143845464","-65.7119143845464"
"67","-66.80625873890143","-66.80625873890143","-66.80625873890143"
"68","-66.89825333463807","-66.89825333463807","-66.89825333463807"
"69","-66.976030596484","-66.976030596484","-66.976030596484"
"70","-65.51749406695953","-65.51749406695953","-65.51749406695953"
"71","-65.25099115231184","-65.25099115231184","-65.25099115231184"
"72","-64.06323041466807","-64.06323041466807","-64.06323041466807"
"73","-64.57489591011594","-64.57489591011594","-64.57489591011594"
"74","-64.02579803007592","-64.02579803007592","-64.02579803007592"
"75","-63.376360640555085","-63.376360640555085","-63.376360640555085"
"76","-62.98719552718937","-62.98719552718937","-62.98719552718937"
"77","-61.54927446944776","-61.54927446944776","-61.54927446944776"
"78","-60.937497738509705","-60.937497738509705","-60.937497738509705"
"79","-62.284649728276996","-62.284649728276996","-62.284649728276996"
"80","-61.288560839318016","-61.288560839318016","-61.288560839318016"
"81","-60.99514788811137","-60.99514788811137","-60.99514788811137"
"82","-60.37295669057585","-60.37295669057585","-60.37295669057585"
"83","-59.326882112788574","-59.326882112788574","-59.326882112788574"
"84","-58.84858538807814","-58.84858538807814","-58.84858538807814"
"85","-58.35556328396695","-58.35556328396695","-58.35556328396695"
"86","-57.80997775163007","-57.80997775163007","-57.80997775163007"
"87","-57.45143543432489","-57.45143543432489","-57.45143543432489"
"88","-56.9402058081761","-56.9402058081761","-56.9402058081761"
"89","-56.52672353651528","-56.52672353651528","-56.52672353651528"
"90","-55.09927451146684","-55.09927451146684","-55.09927451146684"
"91","-54.54685868939401","-54.54685868939401","-54.54685868939401"
"92","-54.102393248253584","-54.102393248253584","-54.102393248253584"
"93","-52.57435231011878","-52.57435231011878","-52.57435231011878"
"94","-52.66751331893149","-52.66751331893149","-52.66751331893149"
"95","-51.864931335512004","-51.864931335512004","-51.864931335512004"
"96","-51.607728123352636","-51.607728123352636","-51.607728123352636"
"97","-50.568977953776205","-50.568977953776205","-50.568977953776205"
"98","-50.43379242141716","-50.43379242141716","-50.43379242141716"
"99","-50.01475357032447","-50.01475357032447","-50.01475357032447"
"100","-49.92472722038165","-49.92472722038165","-49.92472722038165"
"101","-49.643768217393585","-49.643768217393585","-49.643768217393585"
"102","-49.36602376630248","-49.36602376630248","-49.36602376630248"
"103","-48.85123001537957","-48.85123001537957","-48.85123001537957"
"104","-48.475992802939295","-48.475992802939295","-48.475992802939295"
"105","-48.093039906477564","-48.093039906477564","-48.093039906477564"
"106","-47.03484775943665","-47.03484775943665","-47.03484775943665"
"107","-46.828962668697244","-46.828962668697244","-46.828962668697244"
"108","-46.53317030741236","-46.53317030741236","-46.53317030741236"
"109","-46.30102611514403","-46.30102611514403","-46.30102611514403"
"110","-46.017746239533246","-46.017746239533246","-46.017746239533246"
"111","-45.884719583524266","-45.884719583524266","-45.884719583524266"
"112","-44.9348169948938","-44.9348169948938","-44.9348169948938"
"113","-44.619960762499055","-44.619960762499055","-44.619960762499055"
"114","-44.59892291102899","-44.59892291102899","-44.59892291102899"
"115","-44.3594770227579","-44.3594770227579","-44.3594770227579"
"116","-43.35904727324873","-43.35904727324873","-43.35904727324873"
"117","-43.20410640942969","-43.20410640942969","-43.20410640942969"
"118","-43.202450241039884","-43.202450241039884","-43.202450241039884"
"119","-43.340211916280246","-43.340211916280246","-43.340211916280246"
"120","-42.57126158684069","-42.57126158684069","-42.57126158684069"
"121","-42.28718749903655","-42.28718749903655","-42.28718749903655"
"122","-42.36085023133704","-42.36085023133704","-42.36085023133704"
"123","-41.82212609848472","-41.82212609848472","-41.82212609848472"
"124","-41.81458174227063","-41.81458174227063","-41.81458174227063"
"125","-41.14337187927742","-41.14337187927742","-41.14337187927742"
"126","-40.933754295437375","-40.933754295437375","-40.933754295437375"
"127","-40.69149354764505","-40.69149354764505","-40.69149354764505"
"128","-40.646934594670356","-40.646934594670356","-40.646934594670356"
"129","-40.40657191666898","-40.40657191666898","-40.40657191666898"
"130","-40.04560867712422","-40.04560867712422","-40.04560867712422"
"131","-39.74808523226033","-39.74808523226033","-39.74808523226033"
"132","-39.85572203407271","-39.85572203407271","-39.85572203407271"
"133","-39.56320399571395","-39.56320399571395","-39.56320399571395"
"134","-39.04430160203839","-39.04430160203839","-39.04430160203839"
"135","-38.39763888207528","-38.39763888207528","-38.39763888207528"
"136","-38.40063796913695","-38.40063796913695","-38.40063796913695"
"137","-37.91902958057221","-37.91902958057221","-37.91902958057221"
"138","-37.82596746385888","-37.82596746385888","-37.82596746385888"
"139","-36.83981472430546","-36.83981472430546","-36.83981472430546"
"140","-36.89102784170411","-36.89102784170411","-36.89102784170411"
"141","-36.70691566662459","-36.70691566662459","-36.70691566662459"
"142","-36.69786708829009","-36.69786708829009","-36.69786708829009"
"143","-36.84476977618867","-36.84476977618867","-36.84476977618867"
"144","-36.436116482991274","-36.436116482991274","-36.436116482991274"
"145","-35.97730471708593","-35.97730471708593","-35.97730471708593"
"146","-35.83689203263623","-35.83689203263623","-35.83689203263623"
"147","-35.69643336350873","-35.69643336350873","-35.69643336350873"
"148","-35.26680526926798","-35.26680526926798","-35.26680526926798"
"149","-34.7397892172673","-34.7397892172673","-34.7397892172673"
"150","-34.778308989536804","-34.778308989536804","-34.778308989536804"
"151","-34.96265897804924","-34.96265897804924","-34.96265897804924"
"152","-34.63021394004548","-34.63021394004548","-34.63021394004548"
"153","-34.56480260063347","-34.56480260063347","-34.56480260063347"
"154","-34.737146795964115","-34.737146795964115","-34.737146795964115"
"155","-34.45258839197082","-34.45258839197082","-34.45258839197082"
"156","-34.30224057332443","-34.30224057332443","-34.30224057332443"
"157","-34.37681913572683","-34.37681913572683","-34.37681913572683"
"158","-34.51503561540381","-34.51503561540381","-34.51503561540381"
"159","-34.65999017187647","-34.65999017187647","-34.65999017187647"
"160","-34.55467000462941","-34.55467000462941","-34.55467000462941"
"161","-34.04123731799647","-34.04123731799647","-34.04123731799647"
"162","-33.59964435464208","-33.59964435464208","-33.59964435464208"
"163","-33.65335428727546","-33.65335428727546","-33.65335428727546"
"164","-33.24808792039687","-33.24808792039687","-33.24808792039687"
"165","-33.46652759768902","-33.46652759768902","-33.46652759768902"
"166","-33.39992567123923","-33.39992567123923","-33.39992567123923"
"167","-33.26760943342396","-33.26760943342396","-33.26760943342396"
"168","-33.37254588099243","-33.37254588099243","-33.37254588099243"
"169","-33.00633045164762","-33.00633045164762","-33.00633045164762"
"170","-33.336800347901026","-33.336800347901026","-33.336800347901026"
"171","-33.46374599614554","-33.46374599614554","-33.46374599614554"
"172","-33.343836095081","-33.343836095081","-33.343836095081"
"173","-33.238453233634786","-33.238453233634786","-33.238453233634786"
"174","-33.04194017312769","-33.04194017312769","-33.04194017312769"
"175","-32.97405440962537","-32.97405440962537","-32.97405440962537"
"176","-32.872757589746406","-32.872757589746406","-32.872757589746406"
"177","-32.43772204029088","-32.43772204029088","-32.43772204029088"
"178","-32.318100762932026","-32.318100762932026","-32.318100762932026"
"179","-32.46039456325541","-32.46039456325541","-32.46039456325541"
"180","-32.00248819452143","-32.00248819452143","-32.00248819452143"
"181","-32.23119935369271","-32.23119935369271","-32.23119935369271"
"182","-32.22126000082761","-32.22126000082761","-32.22126000082761"
"183","-32.20412904719694","-32.20412904719694","-32.20412904719694"
"184","-32.10274517297326","-32.10274517297326","-32.10274517297326"
"185","-32.347726977631794","-32.347726977631794","-32.347726977631794"
"186","-32.3989509038847","-32.3989509038847","-32.3989509038847"
"187","-32.29431758682321","-32.29431758682321","-32.29431758682321"
"188","-32.500980250207775","-32.500980250207775","-32.500980250207775"
"189","-32.70564684286498","-32.70564684286498","-32.70564684286498"
"190","-32.579269417556276","-32.579269417556276","-32.579269417556276"
"191","-32.55942866060079","-32.55942866060079","-32.55942866060079"
"192","-32.38729826269274","-32.38729826269274","-32.38729826269274"
"193","-32.41026460711422","-32.41026460711422","-32.41026460711422"
"194","-32.31502021883183","-32.31502021883183","-32.31502021883183"
"195","-32.23846897273624","-32.23846897273624","-32.23846897273624"
"196","-31.828035497583752","-31.828035497583752","-31.828035497583752"
"197","-31.66051175335613","-31.66051175335613","-31.66051175335613"
"198","-31.247456084153544","-31.247456084153544","-31.247456084153544"
"199","-31.166926520006495","-31.166926520006495","-31.166926520006495"
"200","-31.218179395706105","-31.218179395706105","-31.218179395706105"
"201","-31.42726649428871","-31.42726649428871","-31.42726649428871"
"202","-30.706450106837423","-30.706450106837423","-30.706450106837423"
"203","-30.219016749848194","-30.219016749848194","-30.219016749848194"
"204","-30.165994344780973","-30.165994344780973","-30.165994344780973"
"205","-29.4513913309986","-29.4513913309986","-29.4513913309986"
"206","-29.39836536305623","-29.39836536305623","-29.39836536305623"
"207","-28.984375217346646","-28.984375217346646","-28.984375217346646"
"208","-28.36616876269508","-28.36616876269508","-28.36616876269508"
"209","-28.016822705428623","-28.016822705428623","-28.016822705428623"
"210","-27.756609095960346","-27.756609095960346","-27.756609095960346"
"211","-26.7667105107003","-26.7667105107003","-26.7667105107003"
"212","-26.67397727643817","-26.67397727643817","-26.67397727643817"
"213","-25.844032150623434","-25.844032150623434","-25.844032150623434"
"214","-25.48521753048218","-25.48521753048218","-25.48521753048218"
"215","-25.467100969643184","-25.467100969643184","-25.467100969643184"
"216","-24.689398427985633","-24.689398427985633","-24.689398427985633"
"217","-24.501601445393707","-24.501601445393707","-24.501601445393707"
"218","-24.357172316356632","-24.357172316356632","-24.357172316356632"
"219","-24.184113870300703","-24.184113870300703","-24.184113870300703"
"220","-23.562308535750546","-23.562308535750546","-23.562308535750546"
"221","-22.771509506495963","-22.771509506495963","-22.771509506495963"
"222","-22.053554116133128","-22.053554116133128","-22.053554116133128"
"223","-21.844157508585123","-21.844157508585123","-21.844157508585123"
"224","-22.04883171738495","-22.04883171738495","-22.04883171738495"
"225","-22.034089067899785","-22.034089067899785","-22.034089067899785"
"226","-22.01953142509147","-22.01953142509147","-22.01953142509147"
"227","-21.394972614122903","-21.394972614122903","-21.394972614122903"
"228","-21.294603559221358","-21.294603559221358","-21.294603559221358"
