"Step","DDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG-ENS-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MAX","DDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MAX","DDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-75.85631311728429","-75.85631311728429","-75.85631311728429","-64.67397362262389","-64.67397362262389","-64.67397362262389","-165.26612536457537","-165.26612536457537","-165.26612536457537"
"1","-58.00018234359291","-58.00018234359291","-58.00018234359291","-37.64133439023223","-37.64133439023223","-37.64133439023223","-98.05081706751342","-98.05081706751342","-98.05081706751342"
"2","-56.722053944857","-56.722053944857","-56.722053944857","-73.01283203657171","-73.01283203657171","-73.01283203657171","-63.900342089854064","-63.900342089854064","-63.900342089854064"
"3","-81.58593841516554","-81.58593841516554","-81.58593841516554","-78.30119686217378","-78.30119686217378","-78.30119686217378","-68.50014850805816","-68.50014850805816","-68.50014850805816"
"4","-106.76030852051824","-106.76030852051824","-106.76030852051824","-93.82083345550548","-93.82083345550548","-93.82083345550548","-75.60305805242777","-75.60305805242777","-75.60305805242777"
"5","-91.49461368932735","-91.49461368932735","-91.49461368932735","-77.09206740545149","-77.09206740545149","-77.09206740545149","-70.29128057602792","-70.29128057602792","-70.29128057602792"
"6","-105.90212095955607","-105.90212095955607","-105.90212095955607","-99.35874283441778","-99.35874283441778","-99.35874283441778","-86.94102686773749","-86.94102686773749","-86.94102686773749"
"7","-95.95140646745463","-95.95140646745463","-95.95140646745463","-92.62433501540065","-92.62433501540065","-92.62433501540065","-99.47660718682565","-99.47660718682565","-99.47660718682565"
"8","-98.31374151968073","-98.31374151968073","-98.31374151968073","-90.3987154547545","-90.3987154547545","-90.3987154547545","-98.28607550227443","-98.28607550227443","-98.28607550227443"
"9","-101.12463062084917","-101.12463062084917","-101.12463062084917","-99.55113034625279","-99.55113034625279","-99.55113034625279","-118.69814320135063","-118.69814320135063","-118.69814320135063"
"10","-102.28522826643358","-102.28522826643358","-102.28522826643358","-100.39238924948823","-100.39238924948823","-100.39238924948823","-126.94593289251169","-126.94593289251169","-126.94593289251169"
"11","-116.95466692610371","-116.95466692610371","-116.95466692610371","-94.60378607462648","-94.60378607462648","-94.60378607462648","-125.70712160388922","-125.70712160388922","-125.70712160388922"
"12","-135.96410665959337","-135.96410665959337","-135.96410665959337","-88.99203907614175","-88.99203907614175","-88.99203907614175","-137.16221292134372","-137.16221292134372","-137.16221292134372"
"13","-143.30480725426102","-143.30480725426102","-143.30480725426102","-97.42422309999088","-97.42422309999088","-97.42422309999088","-144.80733650817675","-144.80733650817675","-144.80733650817675"
"14","-142.23089270392106","-142.23089270392106","-142.23089270392106","-88.25829896564474","-88.25829896564474","-88.25829896564474","-148.18139386910082","-148.18139386910082","-148.18139386910082"
"15","-153.93867461925888","-153.93867461925888","-153.93867461925888","-90.19682938579142","-90.19682938579142","-90.19682938579142","-142.3118621571736","-142.3118621571736","-142.3118621571736"
"16","-150.8979873102209","-150.8979873102209","-150.8979873102209","-91.56011811025196","-91.56011811025196","-91.56011811025196","-143.69031181678267","-143.69031181678267","-143.69031181678267"
"17","-147.67769833980242","-147.67769833980242","-147.67769833980242","-93.33272093720532","-93.33272093720532","-93.33272093720532","-134.69947207199857","-134.69947207199857","-134.69947207199857"
"18","-152.3086102213404","-152.3086102213404","-152.3086102213404","-91.17735618392004","-91.17735618392004","-91.17735618392004","-132.9748408691977","-132.9748408691977","-132.9748408691977"
"19","-150.35091669258094","-150.35091669258094","-150.35091669258094","-98.69026468125665","-98.69026468125665","-98.69026468125665","-144.849627422623","-144.849627422623","-144.849627422623"
"20","-150.13643101771945","-150.13643101771945","-150.13643101771945","-96.23079099964802","-96.23079099964802","-96.23079099964802","-145.8251021143016","-145.8251021143016","-145.8251021143016"
"21","-151.23767815509134","-151.23767815509134","-151.23767815509134","-95.05949334562055","-95.05949334562055","-95.05949334562055","-138.8992903943861","-138.8992903943861","-138.8992903943861"
"22","-155.13852229054285","-155.13852229054285","-155.13852229054285","-95.38302777607586","-95.38302777607586","-95.38302777607586","-136.98433010178064","-136.98433010178064","-136.98433010178064"
"23","-156.34467768001446","-156.34467768001446","-156.34467768001446","-97.65019982199654","-97.65019982199654","-97.65019982199654","-142.87434058288173","-142.87434058288173","-142.87434058288173"
"24","-155.6514908634119","-155.6514908634119","-155.6514908634119","-99.30836864489369","-99.30836864489369","-99.30836864489369","-138.13741778128002","-138.13741778128002","-138.13741778128002"
"25","-163.21625166938173","-163.21625166938173","-163.21625166938173","-100.36189905465282","-100.36189905465282","-100.36189905465282","-148.32603656888193","-148.32603656888193","-148.32603656888193"
"26","-166.53870628829725","-166.53870628829725","-166.53870628829725","-103.5166360721163","-103.5166360721163","-103.5166360721163","-145.66954577050657","-145.66954577050657","-145.66954577050657"
"27","-170.33329490571714","-170.33329490571714","-170.33329490571714","-100.21161505395142","-100.21161505395142","-100.21161505395142","-142.4125987642741","-142.4125987642741","-142.4125987642741"
"28","-170.28610145639803","-170.28610145639803","-170.28610145639803","-101.05789915249824","-101.05789915249824","-101.05789915249824","-142.76691375406978","-142.76691375406978","-142.76691375406978"
"29","-168.21308639183354","-168.21308639183354","-168.21308639183354","-100.72727237006988","-100.72727237006988","-100.72727237006988","-146.62732475022736","-146.62732475022736","-146.62732475022736"
"30","-162.6437367787006","-162.6437367787006","-162.6437367787006","-101.56131435583566","-101.56131435583566","-101.56131435583566","-148.0692887480705","-148.0692887480705","-148.0692887480705"
"31","-163.59068563825466","-163.59068563825466","-163.59068563825466","-103.00470115714498","-103.00470115714498","-103.00470115714498","-146.40810583740196","-146.40810583740196","-146.40810583740196"
"32","-167.51177016628034","-167.51177016628034","-167.51177016628034","-103.0116823581011","-103.0116823581011","-103.0116823581011","-147.00912984423977","-147.00912984423977","-147.00912984423977"
"33","-168.84949680015447","-168.84949680015447","-168.84949680015447","-101.62152580385987","-101.62152580385987","-101.62152580385987","-143.46481858792367","-143.46481858792367","-143.46481858792367"
"34","-170.17336026154325","-170.17336026154325","-170.17336026154325","-106.3840963864872","-106.3840963864872","-106.3840963864872","-147.3670160310907","-147.3670160310907","-147.3670160310907"
"35","-172.5441378725758","-172.5441378725758","-172.5441378725758","-106.80173649286616","-106.80173649286616","-106.80173649286616","-148.24016887035296","-148.24016887035296","-148.24016887035296"
"36","-170.30110148699103","-170.30110148699103","-170.30110148699103","-109.58676745240223","-109.58676745240223","-109.58676745240223","-150.98034405775283","-150.98034405775283","-150.98034405775283"
"37","-169.47246547760278","-169.47246547760278","-169.47246547760278","-110.7697171858731","-110.7697171858731","-110.7697171858731","-155.40362191084228","-155.40362191084228","-155.40362191084228"
"38","-164.0542742128277","-164.0542742128277","-164.0542742128277","-112.1436076575303","-112.1436076575303","-112.1436076575303","-153.08306800183897","-153.08306800183897","-153.08306800183897"
"39","-163.50590451078824","-163.50590451078824","-163.50590451078824","-114.50376871310709","-114.50376871310709","-114.50376871310709","-151.10586220246208","-151.10586220246208","-151.10586220246208"
"40","-164.44596289777127","-164.44596289777127","-164.44596289777127","-114.84435806470454","-114.84435806470454","-114.84435806470454","-150.33452527791832","-150.33452527791832","-150.33452527791832"
"41","-164.9488450951144","-164.9488450951144","-164.9488450951144","-116.47326918325453","-116.47326918325453","-116.47326918325453","-150.1117056450208","-150.1117056450208","-150.1117056450208"
"42","-167.12332169943537","-167.12332169943537","-167.12332169943537","-117.92755977524705","-117.92755977524705","-117.92755977524705","-148.25394400702868","-148.25394400702868","-148.25394400702868"
"43","-165.70959807340077","-165.70959807340077","-165.70959807340077","-116.27701118336098","-116.27701118336098","-116.27701118336098","-145.5553095229284","-145.5553095229284","-145.5553095229284"
"44","-167.61452834379367","-167.61452834379367","-167.61452834379367","-117.40825078919025","-117.40825078919025","-117.40825078919025","-146.0647565241877","-146.0647565241877","-146.0647565241877"
"45","-167.88954245598296","-167.88954245598296","-167.88954245598296","-115.9415332762991","-115.9415332762991","-115.9415332762991","-145.47474969707386","-145.47474969707386","-145.47474969707386"
"46","-165.97511222166764","-165.97511222166764","-165.97511222166764","-115.19843800640747","-115.19843800640747","-115.19843800640747","-144.0511576409642","-144.0511576409642","-144.0511576409642"
"47","-167.6113130562821","-167.6113130562821","-167.6113130562821","-117.08255633118064","-117.08255633118064","-117.08255633118064","-143.392159289325","-143.392159289325","-143.392159289325"
"48","-165.75513906122976","-165.75513906122976","-165.75513906122976","-119.25433076852806","-119.25433076852806","-119.25433076852806","-142.62969711779203","-142.62969711779203","-142.62969711779203"
"49","-170.14698130972246","-170.14698130972246","-170.14698130972246","-120.5838013471152","-120.5838013471152","-120.5838013471152","-143.26583701211155","-143.26583701211155","-143.26583701211155"
"50","-170.34425377353995","-170.34425377353995","-170.34425377353995","-120.01362457443602","-120.01362457443602","-120.01362457443602","-141.2154905038328","-141.2154905038328","-141.2154905038328"
"51","-170.08595182251878","-170.08595182251878","-170.08595182251878","-120.94174561934732","-120.94174561934732","-120.94174561934732","-140.99396558344762","-140.99396558344762","-140.99396558344762"
"52","-164.58988932959323","-164.58988932959323","-164.58988932959323","-117.3442674368025","-117.3442674368025","-117.3442674368025","-141.21519170083306","-141.21519170083306","-141.21519170083306"
"53","-165.67118108519972","-165.67118108519972","-165.67118108519972","-116.87366846361135","-116.87366846361135","-116.87366846361135","-141.2038261959356","-141.2038261959356","-141.2038261959356"
"54","-163.34123698942568","-163.34123698942568","-163.34123698942568","-116.31554112637212","-116.31554112637212","-116.31554112637212","-141.82351594180528","-141.82351594180528","-141.82351594180528"
"55","-161.76413525691646","-161.76413525691646","-161.76413525691646","-116.07842043365396","-116.07842043365396","-116.07842043365396","-141.78095416085918","-141.78095416085918","-141.78095416085918"
"56","-160.93166433518255","-160.93166433518255","-160.93166433518255","-113.74027490063644","-113.74027490063644","-113.74027490063644","-140.57743890905627","-140.57743890905627","-140.57743890905627"
"57","-160.54458715363572","-160.54458715363572","-160.54458715363572","-115.00819010664455","-115.00819010664455","-115.00819010664455","-137.9344492521964","-137.9344492521964","-137.9344492521964"
"58","-161.95439439153304","-161.95439439153304","-161.95439439153304","-114.21836238978497","-114.21836238978497","-114.21836238978497","-136.35227246725657","-136.35227246725657","-136.35227246725657"
"59","-161.61503386300043","-161.61503386300043","-161.61503386300043","-113.17201484161902","-113.17201484161902","-113.17201484161902","-135.18085933969786","-135.18085933969786","-135.18085933969786"
"60","-158.7999685269697","-158.7999685269697","-158.7999685269697","-116.38348717505467","-116.38348717505467","-116.38348717505467","-133.50990497771184","-133.50990497771184","-133.50990497771184"
"61","-159.86823664387444","-159.86823664387444","-159.86823664387444","-115.15359371246143","-115.15359371246143","-115.15359371246143","-133.18956827264287","-133.18956827264287","-133.18956827264287"
"62","-160.49534773474895","-160.49534773474895","-160.49534773474895","-114.96074594597451","-114.96074594597451","-114.96074594597451","-130.68313170502384","-130.68313170502384","-130.68313170502384"
"63","-159.48173534309595","-159.48173534309595","-159.48173534309595","-115.2612881198785","-115.2612881198785","-115.2612881198785","-129.00291754416713","-129.00291754416713","-129.00291754416713"
"64","-158.42551666420135","-158.42551666420135","-158.42551666420135","-113.65218708322985","-113.65218708322985","-113.65218708322985","-129.55998983262234","-129.55998983262234","-129.55998983262234"
"65","-156.8997971515166","-156.8997971515166","-156.8997971515166","-113.21962001433019","-113.21962001433019","-113.21962001433019","-129.03783254180223","-129.03783254180223","-129.03783254180223"
"66","-156.0844535377902","-156.0844535377902","-156.0844535377902","-111.50805612533532","-111.50805612533532","-111.50805612533532","-128.41294455503478","-128.41294455503478","-128.41294455503478"
"67","-154.6783388250172","-154.6783388250172","-154.6783388250172","-109.7635367286297","-109.7635367286297","-109.7635367286297","-126.3630112967805","-126.3630112967805","-126.3630112967805"
"68","-151.14467565121512","-151.14467565121512","-151.14467565121512","-108.93259184386748","-108.93259184386748","-108.93259184386748","-123.86681923430235","-123.86681923430235","-123.86681923430235"
"69","-149.2834715819211","-149.2834715819211","-149.2834715819211","-108.72141911165839","-108.72141911165839","-108.72141911165839","-121.95308435301233","-121.95308435301233","-121.95308435301233"
"70","-147.5285841687847","-147.5285841687847","-147.5285841687847","-107.9569223726728","-107.9569223726728","-107.9569223726728","-121.61848150594628","-121.61848150594628","-121.61848150594628"
"71","-148.70107174484482","-148.70107174484482","-148.70107174484482","-106.8695732695394","-106.8695732695394","-106.8695732695394","-120.63025067409934","-120.63025067409934","-120.63025067409934"
"72","-150.14663142763035","-150.14663142763035","-150.14663142763035","-107.31432787185355","-107.31432787185355","-107.31432787185355","-119.78716505644694","-119.78716505644694","-119.78716505644694"
"73","-149.35967273861877","-149.35967273861877","-149.35967273861877","-106.10078086411407","-106.10078086411407","-106.10078086411407","-118.39661813788233","-118.39661813788233","-118.39661813788233"
"74","-148.21984859424853","-148.21984859424853","-148.21984859424853","-105.49153247607907","-105.49153247607907","-105.49153247607907","-116.62175448744718","-116.62175448744718","-116.62175448744718"
"75","-145.56244780066166","-145.56244780066166","-145.56244780066166","-106.18970453826014","-106.18970453826014","-106.18970453826014","-114.97126620185291","-114.97126620185291","-114.97126620185291"
"76","-143.7589786433817","-143.7589786433817","-143.7589786433817","-104.96112881790434","-104.96112881790434","-104.96112881790434","-113.69257193139524","-113.69257193139524","-113.69257193139524"
"77","-141.34557496164794","-141.34557496164794","-141.34557496164794","-103.99195843726898","-103.99195843726898","-103.99195843726898","-113.01209929780092","-113.01209929780092","-113.01209929780092"
"78","-140.32829839833533","-140.32829839833533","-140.32829839833533","-104.84314605009425","-104.84314605009425","-104.84314605009425","-112.4609821514078","-112.4609821514078","-112.4609821514078"
"79","-139.32359149909553","-139.32359149909553","-139.32359149909553","-105.3405515735903","-105.3405515735903","-105.3405515735903","-110.43870635217714","-110.43870635217714","-110.43870635217714"
"80","-137.75597456743867","-137.75597456743867","-137.75597456743867","-104.45948473820681","-104.45948473820681","-104.45948473820681","-109.1121666464187","-109.1121666464187","-109.1121666464187"
"81","-137.57202849552104","-137.57202849552104","-137.57202849552104","-104.21572098016034","-104.21572098016034","-104.21572098016034","-108.6547754517824","-108.6547754517824","-108.6547754517824"
"82","-136.15908657630925","-136.15908657630925","-136.15908657630925","-103.33701618059932","-103.33701618059932","-103.33701618059932","-105.32311681594574","-105.32311681594574","-105.32311681594574"
"83","-135.64407021173193","-135.64407021173193","-135.64407021173193","-102.6854203421077","-102.6854203421077","-102.6854203421077","-104.41956822907052","-104.41956822907052","-104.41956822907052"
"84","-134.36646793173085","-134.36646793173085","-134.36646793173085","-101.08700760687677","-101.08700760687677","-101.08700760687677","-103.84751623117607","-103.84751623117607","-103.84751623117607"
"85","-135.23117263872666","-135.23117263872666","-135.23117263872666","-98.0410525819157","-98.0410525819157","-98.0410525819157","-102.95994827980665","-102.95994827980665","-102.95994827980665"
"86","-134.05171268408668","-134.05171268408668","-134.05171268408668","-98.33393557692668","-98.33393557692668","-98.33393557692668","-103.60045172611483","-103.60045172611483","-103.60045172611483"
"87","-134.18449994750523","-134.18449994750523","-134.18449994750523","-97.58179447859861","-97.58179447859861","-97.58179447859861","-102.70716493879232","-102.70716493879232","-102.70716493879232"
"88","-132.511959679158","-132.511959679158","-132.511959679158","-98.23348605662618","-98.23348605662618","-98.23348605662618","-102.38798649060469","-102.38798649060469","-102.38798649060469"
"89","-131.2120274540443","-131.2120274540443","-131.2120274540443","-97.81137814030755","-97.81137814030755","-97.81137814030755","-102.44972326054982","-102.44972326054982","-102.44972326054982"
"90","-130.22537625378277","-130.22537625378277","-130.22537625378277","-97.33290415236785","-97.33290415236785","-97.33290415236785","-101.31364584181752","-101.31364584181752","-101.31364584181752"
"91","-129.46174091880337","-129.46174091880337","-129.46174091880337","-97.20222354432569","-97.20222354432569","-97.20222354432569","-100.92869600294516","-100.92869600294516","-100.92869600294516"
"92","-127.65620016047049","-127.65620016047049","-127.65620016047049","-96.3727170412208","-96.3727170412208","-96.3727170412208","-99.85940388162672","-99.85940388162672","-99.85940388162672"
