"Step","MADDPG-DDPG_3_1 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MAX"
"3","-201.53788764567489","-201.53788764567489","-201.53788764567489"
"7","-127.04999639868183","-127.04999639868183","-127.04999639868183"
"11","-117.57533673509937","-117.57533673509937","-117.57533673509937"
"15","-130.6503126720632","-130.6503126720632","-130.6503126720632"
"19","-148.26581378874988","-148.26581378874988","-148.26581378874988"
"23","-144.10426949935308","-144.10426949935308","-144.10426949935308"
"27","-148.02424548010327","-148.02424548010327","-148.02424548010327"
"31","-136.90376093804196","-136.90376093804196","-136.90376093804196"
"35","-142.26606884382386","-142.26606884382386","-142.26606884382386"
"39","-130.0474121519824","-130.0474121519824","-130.0474121519824"
"43","-125.01850623505037","-125.01850623505037","-125.01850623505037"
"47","-139.6751818428081","-139.6751818428081","-139.6751818428081"
"51","-134.76261835426857","-134.76261835426857","-134.76261835426857"
"55","-125.36546334937513","-125.36546334937513","-125.36546334937513"
"59","-130.04648114847382","-130.04648114847382","-130.04648114847382"
"63","-131.7751303283242","-131.7751303283242","-131.7751303283242"
"67","-129.8278810573454","-129.8278810573454","-129.8278810573454"
"71","-132.81771163428616","-132.81771163428616","-132.81771163428616"
"75","-130.73545661496541","-130.73545661496541","-130.73545661496541"
"79","-130.48861857277694","-130.48861857277694","-130.48861857277694"
"83","-132.67512226742437","-132.67512226742437","-132.67512226742437"
"87","-130.10900753642466","-130.10900753642466","-130.10900753642466"
"91","-131.0632820716585","-131.0632820716585","-131.0632820716585"
"95","-131.20395321692504","-131.20395321692504","-131.20395321692504"
"99","-132.46754309203214","-132.46754309203214","-132.46754309203214"
"103","-128.9938699177384","-128.9938699177384","-128.9938699177384"
"107","-124.82970844477431","-124.82970844477431","-124.82970844477431"
"111","-120.44867655217159","-120.44867655217159","-120.44867655217159"
"115","-117.80920220825128","-117.80920220825128","-117.80920220825128"
"119","-115.27191046358452","-115.27191046358452","-115.27191046358452"
"123","-113.26716653607538","-113.26716653607538","-113.26716653607538"
"127","-109.75826011678917","-109.75826011678917","-109.75826011678917"
"131","-111.3236414970225","-111.3236414970225","-111.3236414970225"
