"Step","MADDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)","MADDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MAX"
"4","-50.000456852744236","-50.000456852744236","-50.000456852744236"
"9","-47.21468888709079","-47.21468888709079","-47.21468888709079"
"14","-75.2309234653988","-75.2309234653988","-75.2309234653988"
"19","-101.01381767765585","-101.01381767765585","-101.01381767765585"
"24","-111.40953488935352","-111.40953488935352","-111.40953488935352"
"29","-102.11887877506113","-102.11887877506113","-102.11887877506113"
"34","-101.71800947983556","-101.71800947983556","-101.71800947983556"
"39","-114.92336854650566","-114.92336854650566","-114.92336854650566"
"44","-114.12964320284838","-114.12964320284838","-114.12964320284838"
"49","-118.85616562475866","-118.85616562475866","-118.85616562475866"
"54","-126.66094777400764","-126.66094777400764","-126.66094777400764"
"59","-120.81954672544981","-120.81954672544981","-120.81954672544981"
"64","-120.58983658843204","-120.58983658843204","-120.58983658843204"
"69","-116.3966876270181","-116.3966876270181","-116.3966876270181"
"74","-122.82701870717803","-122.82701870717803","-122.82701870717803"
"79","-124.89450133678051","-124.89450133678051","-124.89450133678051"
"84","-137.43749973420407","-137.43749973420407","-137.43749973420407"
"89","-134.09610571751034","-134.09610571751034","-134.09610571751034"
"94","-134.40721996463262","-134.40721996463262","-134.40721996463262"
"99","-130.44008747630969","-130.44008747630969","-130.44008747630969"
"104","-129.66389684523088","-129.66389684523088","-129.66389684523088"
"109","-128.03281356238378","-128.03281356238378","-128.03281356238378"
"114","-134.20250912531975","-134.20250912531975","-134.20250912531975"
"119","-140.62056267058207","-140.62056267058207","-140.62056267058207"
"124","-141.66239106690492","-141.66239106690492","-141.66239106690492"
"129","-139.80945382123247","-139.80945382123247","-139.80945382123247"
"134","-135.38180272274172","-135.38180272274172","-135.38180272274172"
"139","-138.9914647134772","-138.9914647134772","-138.9914647134772"
"144","-136.37800594548008","-136.37800594548008","-136.37800594548008"
"149","-135.04317132956655","-135.04317132956655","-135.04317132956655"
"154","-134.53294854374056","-134.53294854374056","-134.53294854374056"
"159","-135.75200809398922","-135.75200809398922","-135.75200809398922"
"164","-132.9390329188388","-132.9390329188388","-132.9390329188388"
"169","-134.24163785651675","-134.24163785651675","-134.24163785651675"
