"Step","MADDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"4","-84.09207413889082","-84.09207413889082","-84.09207413889082"
"9","-253.05442400227352","-253.05442400227352","-253.05442400227352"
"14","-149.3987954911714","-149.3987954911714","-149.3987954911714"
"19","-123.83830836077291","-123.83830836077291","-123.83830836077291"
"24","-74.58151918066028","-74.58151918066028","-74.58151918066028"
"29","-55.857513242717836","-55.857513242717836","-55.857513242717836"
"34","-61.20404186172566","-61.20404186172566","-61.20404186172566"
"39","-72.77187954039087","-72.77187954039087","-72.77187954039087"
"44","-82.52752413386816","-82.52752413386816","-82.52752413386816"
"49","-66.9017098347367","-66.9017098347367","-66.9017098347367"
"54","-64.3773887090544","-64.3773887090544","-64.3773887090544"
"59","-76.26424976958741","-76.26424976958741","-76.26424976958741"
"64","-78.24594863131554","-78.24594863131554","-78.24594863131554"
"69","-67.66814958170923","-67.66814958170923","-67.66814958170923"
"74","-79.97910382457381","-79.97910382457381","-79.97910382457381"
"79","-75.31272015900983","-75.31272015900983","-75.31272015900983"
"84","-87.74476254162056","-87.74476254162056","-87.74476254162056"
"89","-93.52079961499582","-93.52079961499582","-93.52079961499582"
"94","-92.51041665843306","-92.51041665843306","-92.51041665843306"
"99","-102.01948394266904","-102.01948394266904","-102.01948394266904"
"104","-103.26015193712922","-103.26015193712922","-103.26015193712922"
"109","-108.90829057958446","-108.90829057958446","-108.90829057958446"
"114","-104.61709459206747","-104.61709459206747","-104.61709459206747"
"119","-105.16361421254214","-105.16361421254214","-105.16361421254214"
"124","-105.44689369284919","-105.44689369284919","-105.44689369284919"
"129","-102.06210867690041","-102.06210867690041","-102.06210867690041"
"134","-101.66069780774136","-101.66069780774136","-101.66069780774136"
"139","-92.00555578873536","-92.00555578873536","-92.00555578873536"
"144","-84.98514180196038","-84.98514180196038","-84.98514180196038"
"149","-86.1414756344785","-86.1414756344785","-86.1414756344785"
"154","-89.34016839653553","-89.34016839653553","-89.34016839653553"
"159","-89.58747981247578","-89.58747981247578","-89.58747981247578"
"164","-86.28070548274728","-86.28070548274728","-86.28070548274728"
"169","-85.63436172907284","-85.63436172907284","-85.63436172907284"
"174","-85.17392396058413","-85.17392396058413","-85.17392396058413"
"179","-78.83965546810974","-78.83965546810974","-78.83965546810974"
"184","-81.46283792378395","-81.46283792378395","-81.46283792378395"
"189","-82.13403659830244","-82.13403659830244","-82.13403659830244"
"194","-80.82384071701735","-80.82384071701735","-80.82384071701735"
"199","-77.72233948570924","-77.72233948570924","-77.72233948570924"
"204","-74.07009341825149","-74.07009341825149","-74.07009341825149"
"209","-75.62217709263406","-75.62217709263406","-75.62217709263406"
"214","-72.27022807617165","-72.27022807617165","-72.27022807617165"
