"Step","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"6","-130.3018977128125","-130.3018977128125","-130.3018977128125"
"13","-15.274618805254299","-15.274618805254299","-15.274618805254299"
"20","-76.70909831686231","-76.70909831686231","-76.70909831686231"
"27","-171.53685066100428","-171.53685066100428","-171.53685066100428"
"34","-186.59924976130392","-186.59924976130392","-186.59924976130392"
"41","-170.76639183376255","-170.76639183376255","-170.76639183376255"
"48","-188.11668015667536","-188.11668015667536","-188.11668015667536"
"55","-193.5051454230076","-193.5051454230076","-193.5051454230076"
"62","-186.21043324847466","-186.21043324847466","-186.21043324847466"
"69","-184.11533207173494","-184.11533207173494","-184.11533207173494"
"76","-191.80089441888086","-191.80089441888086","-191.80089441888086"
"83","-185.44260668896618","-185.44260668896618","-185.44260668896618"
"90","-182.37826617023333","-182.37826617023333","-182.37826617023333"
"97","-198.10108247998127","-198.10108247998127","-198.10108247998127"
"104","-193.53553541607872","-193.53553541607872","-193.53553541607872"
"111","-194.8883381909554","-194.8883381909554","-194.8883381909554"
"118","-197.70259439056642","-197.70259439056642","-197.70259439056642"
"125","-202.23237859836348","-202.23237859836348","-202.23237859836348"
"132","-204.58490646739156","-204.58490646739156","-204.58490646739156"
"139","-211.96112962211495","-211.96112962211495","-211.96112962211495"
"146","-210.09985483205622","-210.09985483205622","-210.09985483205622"
"153","-202.97528507399173","-202.97528507399173","-202.97528507399173"
"160","-195.1795663323716","-195.1795663323716","-195.1795663323716"
"167","-195.74735232055704","-195.74735232055704","-195.74735232055704"
"174","-192.8244935196393","-192.8244935196393","-192.8244935196393"
"181","-183.65651964175333","-183.65651964175333","-183.65651964175333"
"188","-172.99271521180526","-172.99271521180526","-172.99271521180526"
"195","-172.45277539354535","-172.45277539354535","-172.45277539354535"
"202","-166.49759743821787","-166.49759743821787","-166.49759743821787"
"209","-161.7068544972348","-161.7068544972348","-161.7068544972348"
"216","-148.3034425581487","-148.3034425581487","-148.3034425581487"
"223","-143.4633548586556","-143.4633548586556","-143.4633548586556"
"230","-144.76764870217767","-144.76764870217767","-144.76764870217767"
"237","-144.45265672651544","-144.45265672651544","-144.45265672651544"
"244","-140.82926913938093","-140.82926913938093","-140.82926913938093"
"251","-138.131627637792","-138.131627637792","-138.131627637792"
"258","-133.5853289540503","-133.5853289540503","-133.5853289540503"
"265","-135.24475757470526","-135.24475757470526","-135.24475757470526"
"272","-136.27152129094986","-136.27152129094986","-136.27152129094986"
"279","-133.9720480606333","-133.9720480606333","-133.9720480606333"
"286","-138.26515880575127","-138.26515880575127","-138.26515880575127"
"293","-134.1720959754984","-134.1720959754984","-134.1720959754984"
"300","-134.5525698758234","-134.5525698758234","-134.5525698758234"
"307","-136.4959798839119","-136.4959798839119","-136.4959798839119"
"314","-134.40990592157942","-134.40990592157942","-134.40990592157942"
"321","-135.1826834594139","-135.1826834594139","-135.1826834594139"
"328","-136.21948146295432","-136.21948146295432","-136.21948146295432"
"335","-138.4649841543523","-138.4649841543523","-138.4649841543523"
"342","-136.56886446433714","-136.56886446433714","-136.56886446433714"
"349","-134.9323716518486","-134.9323716518486","-134.9323716518486"
"356","-128.5991776579075","-128.5991776579075","-128.5991776579075"
"363","-127.96407639851807","-127.96407639851807","-127.96407639851807"
"370","-126.92842027341204","-126.92842027341204","-126.92842027341204"
"377","-121.25258837461575","-121.25258837461575","-121.25258837461575"
"384","-117.10073338708972","-117.10073338708972","-117.10073338708972"
"391","-115.73592105889587","-115.73592105889587","-115.73592105889587"
"398","-112.61110512585194","-112.61110512585194","-112.61110512585194"
"405","-112.65668794674635","-112.65668794674635","-112.65668794674635"
"412","-112.03875321423449","-112.03875321423449","-112.03875321423449"
"419","-110.56954930277337","-110.56954930277337","-110.56954930277337"
"426","-108.80290415717246","-108.80290415717246","-108.80290415717246"
"433","-110.71491051830692","-110.71491051830692","-110.71491051830692"
"440","-104.5073652748538","-104.5073652748538","-104.5073652748538"
"447","-101.93718764677834","-101.93718764677834","-101.93718764677834"
"454","-99.42453082824379","-99.42453082824379","-99.42453082824379"
"461","-99.01855001852967","-99.01855001852967","-99.01855001852967"
"468","-94.49057101285852","-94.49057101285852","-94.49057101285852"
"475","-92.95515050945858","-92.95515050945858","-92.95515050945858"
"482","-91.78124398504862","-91.78124398504862","-91.78124398504862"
"489","-86.27210845981514","-86.27210845981514","-86.27210845981514"
"496","-84.56318094333395","-84.56318094333395","-84.56318094333395"
"503","-82.02171812237104","-82.02171812237104","-82.02171812237104"
"510","-77.91544941977236","-77.91544941977236","-77.91544941977236"
"517","-74.12053341251384","-74.12053341251384","-74.12053341251384"
"524","-71.8064965404308","-71.8064965404308","-71.8064965404308"
"531","-69.22491692842051","-69.22491692842051","-69.22491692842051"
"538","-66.98370013574267","-66.98370013574267","-66.98370013574267"
"545","-65.68050171804826","-65.68050171804826","-65.68050171804826"
"552","-61.89169860138497","-61.89169860138497","-61.89169860138497"
"559","-59.99052496326701","-59.99052496326701","-59.99052496326701"
"566","-55.265862841438306","-55.265862841438306","-55.265862841438306"
"573","-53.2625600022871","-53.2625600022871","-53.2625600022871"
"580","-51.65924291854822","-51.65924291854822","-51.65924291854822"
"587","-50.09038118641526","-50.09038118641526","-50.09038118641526"
