"Step","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MIN","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-114.25981366084437","-114.25981366084437","-114.25981366084437"
"1","-95.6030123533612","-95.6030123533612","-95.6030123533612"
"2","-69.98664498267969","-69.98664498267969","-69.98664498267969"
"3","-50.07869645833048","-50.07869645833048","-50.07869645833048"
"4","-52.87964662039367","-52.87964662039367","-52.87964662039367"
"5","-52.815055977816236","-52.815055977816236","-52.815055977816236"
"6","-44.79978274154568","-44.79978274154568","-44.79978274154568"
"7","-51.63599503634236","-51.63599503634236","-51.63599503634236"
"8","-47.59713388504515","-47.59713388504515","-47.59713388504515"
"9","-58.86777068255087","-58.86777068255087","-58.86777068255087"
"10","-53.154312530521345","-53.154312530521345","-53.154312530521345"
"11","-51.476533073405925","-51.476533073405925","-51.476533073405925"
"12","-53.32560001648686","-53.32560001648686","-53.32560001648686"
"13","-51.37437409339678","-51.37437409339678","-51.37437409339678"
"14","-49.75115413035078","-49.75115413035078","-49.75115413035078"
"15","-50.578583942705315","-50.578583942705315","-50.578583942705315"
"16","-51.3666511004444","-51.3666511004444","-51.3666511004444"
"17","-50.43727995572407","-50.43727995572407","-50.43727995572407"
"18","-51.88798172023959","-51.88798172023959","-51.88798172023959"
"19","-51.01483804262434","-51.01483804262434","-51.01483804262434"
"20","-50.29196750274035","-50.29196750274035","-50.29196750274035"
"21","-51.53754289919975","-51.53754289919975","-51.53754289919975"
"22","-50.2886530375314","-50.2886530375314","-50.2886530375314"
"23","-48.70596017665343","-48.70596017665343","-48.70596017665343"
"24","-50.50899995885677","-50.50899995885677","-50.50899995885677"
"25","-51.375221656734396","-51.375221656734396","-51.375221656734396"
"26","-53.0178341065298","-53.0178341065298","-53.0178341065298"
"27","-52.24083771012981","-52.24083771012981","-52.24083771012981"
"28","-48.821423017219054","-48.821423017219054","-48.821423017219054"
"29","-48.700361384553574","-48.700361384553574","-48.700361384553574"
"30","-49.136038692013685","-49.136038692013685","-49.136038692013685"
"31","-47.38268658783603","-47.38268658783603","-47.38268658783603"
"32","-46.94320527395259","-46.94320527395259","-46.94320527395259"
"33","-46.39070328859258","-46.39070328859258","-46.39070328859258"
"34","-48.297846482977015","-48.297846482977015","-48.297846482977015"
"35","-49.41515554005032","-49.41515554005032","-49.41515554005032"
"36","-49.69878031129582","-49.69878031129582","-49.69878031129582"
"37","-50.09269207353009","-50.09269207353009","-50.09269207353009"
"38","-49.955839674090335","-49.955839674090335","-49.955839674090335"
"39","-50.30923340017652","-50.30923340017652","-50.30923340017652"
"40","-49.29480811668043","-49.29480811668043","-49.29480811668043"
"41","-49.81510347653276","-49.81510347653276","-49.81510347653276"
"42","-50.39233125166512","-50.39233125166512","-50.39233125166512"
"43","-51.62628261608617","-51.62628261608617","-51.62628261608617"
"44","-52.62560736821277","-52.62560736821277","-52.62560736821277"
"45","-53.67065522042923","-53.67065522042923","-53.67065522042923"
"46","-53.057348659831746","-53.057348659831746","-53.057348659831746"
