"Step","RAND_RAND_4_2 - Mean Episode Reward (Last 200 episodes)","RAND_RAND_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","RAND_RAND_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"0","-61.04850797582544","-61.04850797582544","-61.04850797582544"
"1","-83.82440058394228","-83.82440058394228","-83.82440058394228"
"2","-112.97316103999306","-112.97316103999306","-112.97316103999306"
"3","-113.73100940592688","-113.73100940592688","-113.73100940592688"
"4","-111.79156867909535","-111.79156867909535","-111.79156867909535"
"5","-120.92884555156219","-120.92884555156219","-120.92884555156219"
"6","-119.32190059275824","-119.32190059275824","-119.32190059275824"
"7","-109.27101583382185","-109.27101583382185","-109.27101583382185"
"8","-110.37115307083015","-110.37115307083015","-110.37115307083015"
"9","-108.5044604078785","-108.5044604078785","-108.5044604078785"
"10","-107.05111797674509","-107.05111797674509","-107.05111797674509"
"11","-104.80764759371552","-104.80764759371552","-104.80764759371552"
"12","-83.76754220872466","-83.76754220872466","-83.76754220872466"
"13","-93.75656312343555","-93.75656312343555","-93.75656312343555"
"14","-95.09390237071653","-95.09390237071653","-95.09390237071653"
"15","-85.29774228478936","-85.29774228478936","-85.29774228478936"
"16","-80.47879490623215","-80.47879490623215","-80.47879490623215"
"17","-74.92003792463643","-74.92003792463643","-74.92003792463643"
"18","-71.84302227674483","-71.84302227674483","-71.84302227674483"
"19","-68.98977739822843","-68.98977739822843","-68.98977739822843"
"20","-67.17345842296024","-67.17345842296024","-67.17345842296024"
"21","-65.92396280038653","-65.92396280038653","-65.92396280038653"
"22","-64.37873078913584","-64.37873078913584","-64.37873078913584"
"23","-64.93496127201028","-64.93496127201028","-64.93496127201028"
"24","-57.30182401632479","-57.30182401632479","-57.30182401632479"
"25","-63.01263959070257","-63.01263959070257","-63.01263959070257"
"26","-69.29467760097887","-69.29467760097887","-69.29467760097887"
"27","-62.61236847889226","-62.61236847889226","-62.61236847889226"
"28","-62.41504951627778","-62.41504951627778","-62.41504951627778"
"29","-63.709404519221586","-63.709404519221586","-63.709404519221586"
"30","-66.70213760522566","-66.70213760522566","-66.70213760522566"
"31","-62.98863376813668","-62.98863376813668","-62.98863376813668"
"32","-64.32597041463782","-64.32597041463782","-64.32597041463782"
"33","-62.972410096064564","-62.972410096064564","-62.972410096064564"
"34","-64.04348123628588","-64.04348123628588","-64.04348123628588"
"35","-67.5335481691896","-67.5335481691896","-67.5335481691896"
"36","-67.17855261390307","-67.17855261390307","-67.17855261390307"
"37","-62.119317791142834","-62.119317791142834","-62.119317791142834"
"38","-61.96685045533224","-61.96685045533224","-61.96685045533224"
"39","-61.50314151793543","-61.50314151793543","-61.50314151793543"
"40","-62.443076899925785","-62.443076899925785","-62.443076899925785"
"41","-62.97147041129642","-62.97147041129642","-62.97147041129642"
"42","-64.1996923862734","-64.1996923862734","-64.1996923862734"
"43","-59.68231645394437","-59.68231645394437","-59.68231645394437"
"44","-59.80985197702869","-59.80985197702869","-59.80985197702869"
"45","-62.20453094458637","-62.20453094458637","-62.20453094458637"
"46","-62.939181313818764","-62.939181313818764","-62.939181313818764"
"47","-61.00265279505203","-61.00265279505203","-61.00265279505203"
"48","-61.75115423086121","-61.75115423086121","-61.75115423086121"
"49","-59.19248732542219","-59.19248732542219","-59.19248732542219"
"50","-57.47829888364297","-57.47829888364297","-57.47829888364297"
"51","-57.09569038469578","-57.09569038469578","-57.09569038469578"
"52","-56.88525527026514","-56.88525527026514","-56.88525527026514"
"53","-56.816027601855836","-56.816027601855836","-56.816027601855836"
"54","-58.100034436878644","-58.100034436878644","-58.100034436878644"
"55","-52.5789735946072","-52.5789735946072","-52.5789735946072"
"56","-52.16121954122227","-52.16121954122227","-52.16121954122227"
"57","-52.47798417003354","-52.47798417003354","-52.47798417003354"
"58","-53.56478512692833","-53.56478512692833","-53.56478512692833"
"59","-54.7795419896606","-54.7795419896606","-54.7795419896606"
"60","-53.39964171927508","-53.39964171927508","-53.39964171927508"
"61","-53.32584590385827","-53.32584590385827","-53.32584590385827"
"62","-54.264736470465","-54.264736470465","-54.264736470465"
"63","-55.4869488146663","-55.4869488146663","-55.4869488146663"
"64","-55.71670804959602","-55.71670804959602","-55.71670804959602"
"65","-55.79575931959391","-55.79575931959391","-55.79575931959391"
"66","-55.63225729913615","-55.63225729913615","-55.63225729913615"
"67","-57.75855892869744","-57.75855892869744","-57.75855892869744"
"68","-57.564664495817595","-57.564664495817595","-57.564664495817595"
"69","-57.07421297764248","-57.07421297764248","-57.07421297764248"
"70","-59.98357656385938","-59.98357656385938","-59.98357656385938"
"71","-60.109489990939515","-60.109489990939515","-60.109489990939515"
"72","-60.097006111726465","-60.097006111726465","-60.097006111726465"
"73","-60.38032206685282","-60.38032206685282","-60.38032206685282"
"74","-59.853209204952","-59.853209204952","-59.853209204952"
"75","-61.35544421410423","-61.35544421410423","-61.35544421410423"
"76","-61.00597036342023","-61.00597036342023","-61.00597036342023"
"77","-59.8954540888472","-59.8954540888472","-59.8954540888472"
"78","-60.213082739550075","-60.213082739550075","-60.213082739550075"
"79","-60.88613088439475","-60.88613088439475","-60.88613088439475"
"80","-60.0861216930555","-60.0861216930555","-60.0861216930555"
"81","-60.48622227372289","-60.48622227372289","-60.48622227372289"
"82","-61.12032502321965","-61.12032502321965","-61.12032502321965"
"83","-61.79629237460855","-61.79629237460855","-61.79629237460855"
"84","-60.46866946858048","-60.46866946858048","-60.46866946858048"
"85","-59.19220151570362","-59.19220151570362","-59.19220151570362"
"86","-60.34047828920226","-60.34047828920226","-60.34047828920226"
"87","-60.36921326892903","-60.36921326892903","-60.36921326892903"
"88","-58.40973348419574","-58.40973348419574","-58.40973348419574"
"89","-59.43898105711009","-59.43898105711009","-59.43898105711009"
"90","-60.98262893209913","-60.98262893209913","-60.98262893209913"
"91","-58.80700060025171","-58.80700060025171","-58.80700060025171"
"92","-58.49226883640425","-58.49226883640425","-58.49226883640425"
"93","-57.192309632514394","-57.192309632514394","-57.192309632514394"
"94","-58.49581973720771","-58.49581973720771","-58.49581973720771"
"95","-59.94310633535533","-59.94310633535533","-59.94310633535533"
"96","-58.61789419129951","-58.61789419129951","-58.61789419129951"
"97","-57.386650725145465","-57.386650725145465","-57.386650725145465"
"98","-57.71142752506891","-57.71142752506891","-57.71142752506891"
"99","-58.599725654773245","-58.599725654773245","-58.599725654773245"
"100","-59.40224374222297","-59.40224374222297","-59.40224374222297"
"101","-58.90577989918392","-58.90577989918392","-58.90577989918392"
"102","-58.553032062267704","-58.553032062267704","-58.553032062267704"
"103","-58.69213419074062","-58.69213419074062","-58.69213419074062"
"104","-58.78924957180623","-58.78924957180623","-58.78924957180623"
"105","-57.855636014320694","-57.855636014320694","-57.855636014320694"
"106","-59.27103608368776","-59.27103608368776","-59.27103608368776"
"107","-59.182606509903444","-59.182606509903444","-59.182606509903444"
"108","-60.65745043439365","-60.65745043439365","-60.65745043439365"
"109","-61.65205027515585","-61.65205027515585","-61.65205027515585"
"110","-61.29231545133901","-61.29231545133901","-61.29231545133901"
"111","-61.21004096557043","-61.21004096557043","-61.21004096557043"
"112","-60.99629589462013","-60.99629589462013","-60.99629589462013"
"113","-61.410399042058714","-61.410399042058714","-61.410399042058714"
"114","-61.45419070534904","-61.45419070534904","-61.45419070534904"
"115","-60.646256205995186","-60.646256205995186","-60.646256205995186"
"116","-60.88520154448559","-60.88520154448559","-60.88520154448559"
"117","-60.82452066825759","-60.82452066825759","-60.82452066825759"
